"om","yr","mo","dy","date","time","tz","st","stf","stn","mag","inj","fat","loss","closs","slat","slon","elat","elon","len","wid","ns","sn","sg","f1","f2","f3","f4","mt"
752185,2023,10,12,"2023-10-12","01:00:00",3,"FL",12,0,40,0,0,200,0,29.51,-81.95,29.51,-81.95,0,0,0,0,0,107,0,0,0,"EG"
752186,2023,10,12,"2023-10-12","02:45:00",3,"FL",12,0,50,0,0,0,0,29.45,-81.34,29.45,-81.34,0,0,0,0,0,35,0,0,0,"EG"
752187,2023,10,12,"2023-10-12","02:50:00",3,"FL",12,0,50,0,0,0,0,29.57,-81.25,29.57,-81.25,0,0,0,0,0,35,0,0,0,"EG"
752188,2023,10,12,"2023-10-12","03:20:00",3,"FL",12,0,50,0,0,0,1000,29.1861,-82.0857,29.1861,-82.0857,0,0,0,0,0,83,0,0,0,"EG"
752189,2023,10,12,"2023-10-12","03:40:00",3,"FL",12,0,40,0,0,1000,0,29.63,-82.03,29.63,-82.03,0,0,0,0,0,107,0,0,0,"EG"
752190,2023,10,12,"2023-10-12","07:00:00",3,"FL",12,0,40,0,0,500,0,29.69,-82.42,29.69,-82.42,0,0,0,0,0,1,0,0,0,"EG"
752191,2023,10,12,"2023-10-12","07:40:00",3,"FL",12,0,40,0,0,500,0,29.98,-82.54,29.98,-82.54,0,0,0,0,0,125,0,0,0,"EG"
752192,2023,10,12,"2023-10-12","07:45:00",3,"FL",12,0,40,0,0,500,0,30,-82.37,30,-82.37,0,0,0,0,0,125,0,0,0,"EG"
752193,2023,10,12,"2023-10-12","15:38:00",3,"NE",31,0,55,0,0,0,0,40.59,-98.39,40.59,-98.39,0,0,0,0,0,1,0,0,0,"MG"
752194,2023,10,12,"2023-10-12","18:30:00",3,"NE",31,0,56,0,0,0,0,42.6521,-96.878,42.6521,-96.878,0,0,0,0,0,51,0,0,0,"EG"
752195,2023,10,12,"2023-10-12","21:28:00",3,"SD",46,0,56,0,0,0,0,44.39,-97.55,44.39,-97.55,0,0,0,0,0,77,0,0,0,"EG"
752196,2023,10,20,"2023-10-20","13:41:00",3,"SC",45,0,50,0,0,5000,0,35.077,-81.643,35.077,-81.643,0,0,0,0,0,21,0,0,0,"EG"
752197,2023,10,20,"2023-10-20","14:04:00",3,"SC",45,0,50,0,0,0,0,34.99,-81.42,34.926,-81.362,0,0,0,0,0,91,0,0,0,"EG"
752198,2023,10,20,"2023-10-20","14:07:00",3,"GA",13,0,50,0,0,0,0,31.87,-81.74,31.87,-81.74,0,0,0,0,0,179,0,0,0,"EG"
752199,2023,10,20,"2023-10-20","14:17:00",3,"GA",13,0,50,0,0,0,0,31.85,-81.61,31.85,-81.61,0,0,0,0,0,179,0,0,0,"EG"
752200,2023,10,20,"2023-10-20","14:30:00",3,"GA",13,0,50,0,0,0,0,31.8,-81.42,31.8,-81.42,0,0,0,0,0,179,0,0,0,"EG"
752201,2023,10,20,"2023-10-20","14:30:00",3,"GA",13,0,50,0,0,0,0,31.8,-81.43,31.8,-81.43,0,0,0,0,0,179,0,0,0,"EG"
752202,2023,10,20,"2023-10-20","14:32:00",3,"GA",13,0,50,0,0,0,0,31.79,-81.44,31.79,-81.44,0,0,0,0,0,179,0,0,0,"EG"
752203,2023,10,20,"2023-10-20","14:35:00",3,"GA",13,0,50,0,0,0,0,31.8,-81.4,31.8,-81.4,0,0,0,0,0,179,0,0,0,"EG"
752204,2023,10,20,"2023-10-20","14:39:00",3,"SC",45,0,50,0,0,0,0,34.17,-81.33,34.17,-81.33,0,0,0,0,0,63,0,0,0,"EG"
752205,2023,10,20,"2023-10-20","14:42:00",3,"SC",45,0,50,0,0,0,0,32.76,-81.12,32.76,-81.12,0,0,0,0,0,49,0,0,0,"EG"
752206,2023,10,20,"2023-10-20","15:01:00",3,"SC",45,0,50,0,0,0,0,32.7,-80.86,32.7,-80.86,0,0,0,0,0,49,0,0,0,"EG"
