"om","yr","mo","dy","date","time","tz","st","stf","stn","mag","inj","fat","loss","closs","slat","slon","elat","elon","len","wid","ns","sn","sg","f1","f2","f3","f4","mt"
659500,2018,10,11,"2018-10-11","13:30:00",3,"VA",51,0,65,0,0,10000,0,36.5734,-79.4251,36.5774,-79.4226,0,0,0,0,0,590,0,0,0,"EG"
659501,2018,10,11,"2018-10-11","13:30:00",3,"NC",37,0,70,0,0,75000,0,36.41,-79.72,36.3525,-79.6897,0,0,0,0,0,157,0,0,0,"EG"
659502,2018,10,11,"2018-10-11","13:45:00",3,"NC",37,0,60,0,0,30000,0,36.4644,-79.4602,36.4706,-79.1876,0,0,0,0,0,33,0,0,0,"EG"
659503,2018,10,11,"2018-10-11","14:00:00",3,"VA",51,0,50,0,0,0,0,38.26,-77.63,38.26,-77.63,0,0,0,0,0,177,0,0,0,"EG"
659504,2018,10,11,"2018-10-11","14:00:00",3,"VA",51,0,60,0,0,30000,0,36.9586,-78.7203,37.1199,-78.5244,0,0,0,0,0,37,0,0,0,"EG"
659505,2018,10,11,"2018-10-11","14:30:00",3,"VA",51,0,65,0,0,10000,0,36.7429,-79.057,36.7449,-79.0557,0,0,0,0,0,83,0,0,0,"EG"
659506,2018,10,11,"2018-10-11","14:50:00",3,"VA",51,0,50,0,0,8000,0,37.5341,-78.723,37.5848,-78.3827,0,0,0,0,0,29,0,0,0,"EG"
659507,2018,10,12,"2018-10-12","08:50:00",3,"WA",53,0,60,0,0,5000,0,48.1914,-117.2721,48.1914,-117.2721,0,0,0,0,0,51,0,0,0,"EG"
659508,2018,10,13,"2018-10-13","00:42:00",3,"TX",48,0,60,0,0,0,0,31.13,-102.23,31.13,-102.23,0,0,0,0,0,461,0,0,0,"MG"
659509,2018,10,13,"2018-10-13","03:05:00",3,"TX",48,0,65,0,0,4000,0,32.0265,-101.9009,32.0265,-101.9009,0,0,0,0,0,329,0,0,0,"EG"
659510,2018,10,13,"2018-10-13","13:13:00",3,"TX",48,0,60,0,0,15000,0,32.04,-96.34,32.04,-96.34,0,0,0,0,0,349,0,0,0,"EG"
659511,2018,10,13,"2018-10-13","14:24:00",3,"TX",48,0,65,0,0,5000,0,31.6164,-96.4626,31.6188,-96.4212,0,0,0,0,0,293,0,0,0,"EG"
659512,2018,10,13,"2018-10-13","15:45:00",3,"TX",48,0,56,0,0,0,0,32.1358,-94.7997,32.1358,-94.7997,0,0,0,0,0,401,0,0,0,"EG"
659513,2018,10,13,"2018-10-13","16:25:00",3,"TX",48,0,56,0,0,0,0,32.3613,-94.8756,32.3613,-94.8756,0,0,0,0,0,183,0,0,0,"EG"
659514,2018,10,13,"2018-10-13","16:30:00",3,"TX",48,0,56,0,0,0,0,32.3647,-94.8652,32.3647,-94.8652,0,0,0,0,0,183,0,0,0,"EG"
659515,2018,10,13,"2018-10-13","17:03:00",3,"TX",48,0,56,0,0,0,0,32.2689,-94.2147,32.2689,-94.2147,0,0,0,0,0,365,0,0,0,"EG"
659516,2018,10,13,"2018-10-13","17:50:00",3,"TX",48,0,56,0,0,0,0,32.3093,-94.1704,32.3093,-94.1704,0,0,0,0,0,365,0,0,0,"EG"
659517,2018,10,13,"2018-10-13","18:00:00",3,"TX",48,0,56,0,0,0,0,32.3594,-94.0916,32.3594,-94.0916,0,0,0,0,0,365,0,0,0,"EG"
659518,2018,10,13,"2018-10-13","18:35:00",3,"TX",48,0,56,0,0,0,0,31.6309,-94.8922,31.6309,-94.8922,0,0,0,0,0,347,0,0,0,"EG"
659519,2018,10,13,"2018-10-13","22:00:00",3,"UT",49,0,50,0,0,0,0,41.773,-113.286,41.773,-113.286,0,0,0,0,0,3,0,0,0,"MG"
659520,2018,10,14,"2018-10-14","15:09:00",3,"TX",48,0,60,0,0,0,0,31.81,-100.03,31.81,-100.03,0,0,0,0,0,399,0,0,0,"EG"
659521,2018,10,14,"2018-10-14","15:19:00",3,"TX",48,0,60,0,0,0,0,31.85,-99.95,31.85,-99.95,0,0,0,0,0,399,0,0,0,"EG"
659522,2018,10,14,"2018-10-14","17:55:00",3,"AR",5,0,50,0,0,7000,0,33.2653,-91.9245,33.2653,-91.9245,0,0,0,0,0,3,0,0,0,"EG"
659523,2018,10,20,"2018-10-20","11:40:00",3,"MI",26,0,50,0,0,0,0,42.66,-83.75,42.66,-83.75,0,0,0,0,0,93,0,0,0,"EG"
659524,2018,10,20,"2018-10-20","12:05:00",3,"MI",26,0,52,0,0,0,0,42.24,-83.62,42.24,-83.62,0,0,0,0,0,161,0,0,0,"EG"
659525,2018,10,20,"2018-10-20","12:10:00",3,"MI",26,0,52,0,0,0,0,42.4,-83.37,42.4,-83.37,0,0,0,0,0,163,0,0,0,"EG"
659526,2018,10,20,"2018-10-20","12:23:00",3,"MI",26,0,52,0,0,0,0,42.72,-83.04,42.72,-83.04,0,0,0,0,0,99,0,0,0,"EG"
659527,2018,10,20,"2018-10-20","12:25:00",3,"MI",26,0,52,0,0,0,0,42.06,-83.39,42.06,-83.39,0,0,0,0,0,115,0,0,0,"EG"
659528,2018,10,20,"2018-10-20","12:30:00",3,"MI",26,0,52,0,0,0,0,42.51,-82.94,42.51,-82.94,0,0,0,0,0,99,0,0,0,"EG"
659529,2018,10,20,"2018-10-20","12:30:00",3,"MI",26,0,63,0,0,0,0,42.56,-82.68,42.56,-82.68,0,0,0,0,0,147,0,0,0,"MG"
659530,2018,10,20,"2018-10-20","14:25:00",3,"OH",39,0,52,0,0,50000,0,41.45,-81.93,41.45,-81.93,0,0,0,0,0,35,0,0,0,"EG"
659531,2018,10,20,"2018-10-20","14:31:00",3,"OH",39,0,50,0,0,0,0,41.41,-81.85,41.41,-81.85,0,0,0,0,0,35,0,0,0,"MG"
659532,2018,10,20,"2018-10-20","15:06:00",3,"OH",39,0,52,0,0,50000,0,41.71,-81.31,41.71,-81.31,0,0,0,0,0,85,0,0,0,"EG"
659533,2018,10,21,"2018-10-21","16:40:00",3,"AZ",4,0,50,0,0,500,0,31.895,-110.9959,31.895,-110.9959,0,0,0,0,0,19,0,0,0,"EG"
659534,2018,10,21,"2018-10-21","20:00:00",3,"AZ",4,0,49,0,0,50000,0,32.99,-111.92,32.99,-111.92,0,0,0,0,0,13,0,0,0,"MG"
659535,2018,10,23,"2018-10-23","16:35:00",3,"MA",25,0,46,0,0,10000,0,42.5669,-71.2043,42.5669,-71.2043,0,0,0,0,0,17,0,0,0,"EG"
659536,2018,10,28,"2018-10-28","16:40:00",3,"OH",39,0,50,0,0,10000,0,39.2897,-82.0027,39.2897,-82.0027,0,0,0,0,0,9,0,0,0,"EG"
659537,2018,10,28,"2018-10-28","17:11:00",3,"OH",39,0,50,0,0,1000,0,39.22,-81.8,39.22,-81.8,0,0,0,0,0,9,0,0,0,"EG"
659538,2018,10,28,"2018-10-28","18:40:00",3,"WV",54,0,50,0,0,2000,0,38.52,-80.59,38.52,-80.59,0,0,0,0,0,101,0,0,0,"EG"
659539,2018,10,29,"2018-10-29","07:52:00",3,"MA",25,0,50,0,0,0,0,41.541,-70.6435,41.541,-70.6435,0,0,0,0,0,1,0,0,0,"EG"
659540,2018,10,30,"2018-10-30","19:32:00",3,"AZ",4,0,50,0,0,0,0,35.298,-109.1359,35.34,-109.07,0,0,0,0,0,1,0,0,0,"MG"
659541,2018,10,31,"2018-10-31","15:10:00",3,"AR",5,0,52,0,0,0,0,34.04,-94.34,34.04,-94.34,0,0,0,0,0,133,0,0,0,"EG"
659542,2018,10,31,"2018-10-31","15:30:00",3,"KY",21,0,53,0,0,30000,0,37.41,-86.88,37.41,-86.88,0,0,0,0,0,183,0,0,0,"EG"
659543,2018,10,31,"2018-10-31","15:40:00",3,"TX",48,0,56,0,0,0,0,33.1239,-94.691,33.1239,-94.691,0,0,0,0,0,343,0,0,0,"EG"
659544,2018,10,31,"2018-10-31","16:03:00",3,"KY",21,0,52,0,0,0,0,37.77,-85.7,37.77,-85.7,0,0,0,0,0,179,0,0,0,"EG"
659545,2018,10,31,"2018-10-31","16:09:00",3,"TX",48,0,56,0,0,0,0,33.3498,-94.5129,33.3498,-94.5129,0,0,0,0,0,37,0,0,0,"EG"
659546,2018,10,31,"2018-10-31","16:24:00",3,"KY",21,0,52,0,0,0,0,37.84,-85.45,37.84,-85.45,0,0,0,0,0,179,0,0,0,"EG"
659547,2018,10,31,"2018-10-31","16:35:00",3,"TX",48,0,61,0,0,0,0,29.67,-98.33,29.67,-98.33,0,0,0,0,0,91,0,0,0,"EG"
659548,2018,10,31,"2018-10-31","16:40:00",3,"KY",21,0,51,0,0,0,0,37.97,-85.36,37.97,-85.36,0,0,0,0,0,215,0,0,0,"EG"
659549,2018,10,31,"2018-10-31","16:45:00",3,"TX",48,0,48,0,0,5000,0,31.62,-95.58,31.62,-95.58,0,0,0,0,0,1,0,0,0,"EG"
659550,2018,10,31,"2018-10-31","17:45:00",3,"TX",48,0,61,0,0,0,0,32.2507,-94.9325,32.2507,-94.9325,0,0,0,0,0,401,0,0,0,"EG"
659551,2018,10,31,"2018-10-31","17:55:00",3,"TX",48,0,61,0,0,0,0,31.854,-94.8401,31.854,-94.8401,0,0,0,0,0,401,0,0,0,"EG"
659552,2018,10,31,"2018-10-31","18:00:00",3,"TX",48,0,56,0,0,0,0,32.076,-94.784,32.076,-94.784,0,0,0,0,0,401,0,0,0,"EG"
659553,2018,10,31,"2018-10-31","18:03:00",3,"TX",48,0,56,0,0,0,0,32.0907,-94.8062,32.0907,-94.8062,0,0,0,0,0,401,0,0,0,"EG"
659554,2018,10,31,"2018-10-31","18:07:00",3,"TX",48,0,51,0,0,500,0,30.71,-95.55,30.71,-95.55,0,0,0,0,0,471,0,0,0,"EG"
659555,2018,10,31,"2018-10-31","18:07:00",3,"TX",48,0,56,0,0,0,0,31.963,-94.702,31.963,-94.702,0,0,0,0,0,401,0,0,0,"EG"
659556,2018,10,31,"2018-10-31","18:15:00",3,"TX",48,0,61,0,0,0,0,32.2128,-94.7169,32.2128,-94.7169,0,0,0,0,0,401,0,0,0,"EG"
659557,2018,10,31,"2018-10-31","18:55:00",3,"TX",48,0,61,0,0,0,0,32.0945,-94.2669,32.0945,-94.2669,0,0,0,0,0,365,0,0,0,"EG"
659558,2018,10,31,"2018-10-31","18:59:00",3,"TX",48,0,56,0,0,0,0,32.4979,-94.1113,32.4979,-94.1113,0,0,0,0,0,203,0,0,0,"EG"
659559,2018,10,31,"2018-10-31","19:15:00",3,"TX",48,0,56,0,0,0,0,31.7689,-94.0911,31.7689,-94.0911,0,0,0,0,0,419,0,0,0,"EG"
659560,2018,10,31,"2018-10-31","19:24:00",3,"LA",22,0,56,0,0,0,0,32.5717,-93.9047,32.5717,-93.9047,0,0,0,0,0,17,0,0,0,"EG"
659561,2018,10,31,"2018-10-31","19:55:00",3,"TX",48,0,53,0,0,5000,0,29.8229,-95.4108,29.8229,-95.4108,0,0,0,0,0,201,0,0,0,"EG"
659562,2018,10,31,"2018-10-31","20:20:00",3,"LA",22,0,52,0,0,0,0,32.047,-93.3048,32.047,-93.3048,0,0,0,0,0,81,0,0,0,"EG"
