"om","yr","mo","dy","date","time","tz","st","stf","stn","mag","inj","fat","loss","closs","slat","slon","elat","elon","len","wid","ns","sn","sg","f1","f2","f3","f4","mt"
677823,2019,10,10,"2019-10-10","09:11:00",3,"MO",29,0,52,0,0,5000,0,36.89,-94.42,36.8903,-94.4092,0,0,0,0,0,145,0,0,0,"EG"
677824,2019,10,10,"2019-10-10","13:45:00",3,"OK",40,0,65,0,0,20000,0,35.9937,-95.6723,35.9937,-95.6723,0,0,0,0,0,145,0,0,0,"EG"
677825,2019,10,10,"2019-10-10","14:35:00",3,"OK",40,0,52,0,0,0,0,35.257,-94.922,35.257,-94.922,0,0,0,0,0,61,0,0,0,"EG"
677826,2019,10,10,"2019-10-10","14:42:00",3,"OK",40,0,52,0,0,0,0,35.2605,-95.8842,35.2605,-95.8842,0,0,0,0,0,91,0,0,0,"EG"
677827,2019,10,10,"2019-10-10","15:21:00",3,"OK",40,0,53,0,0,0,0,35.3082,-95.5885,35.3082,-95.5885,0,0,0,0,0,91,0,0,0,"MG"
677828,2019,10,10,"2019-10-10","16:46:00",3,"MO",29,0,52,0,0,0,0,36.63,-92.39,36.6299,-92.3892,0,0,0,0,0,153,0,0,0,"EG"
677829,2019,10,10,"2019-10-10","18:40:00",3,"AR",5,0,56,0,0,0,0,35.43,-93.95,35.43,-93.95,0,0,0,0,0,47,0,0,0,"EG"
677830,2019,10,10,"2019-10-10","18:56:00",3,"MO",29,0,52,0,0,10000,0,38.2558,-92.6842,38.257,-92.6766,0,0,0,0,0,131,0,0,0,"EG"
677831,2019,10,10,"2019-10-10","20:13:00",3,"TX",48,0,51,0,0,0,0,32.53,-97.32,32.53,-97.32,0,0,0,0,0,251,0,0,0,"EG"
677832,2019,10,10,"2019-10-10","20:17:00",3,"TX",48,0,50,0,0,5000,0,32.57,-97.34,32.57,-97.34,0,0,0,0,0,439,0,0,0,"EG"
