"om","yr","mo","dy","date","time","tz","st","stf","stn","mag","inj","fat","loss","closs","slat","slon","elat","elon","len","wid","ns","sn","sg","f1","f2","f3","f4","mt"
730662,2022,10,10,"2022-10-10","14:17:00",3,"AZ",4,0,52,0,0,0,0,32.3981,-110.725,32.3981,-110.725,0,0,0,0,0,19,0,0,0,"MG"
730663,2022,10,10,"2022-10-10","17:07:00",3,"TX",48,0,53,0,0,0,0,30.91,-102.91,30.91,-102.91,0,0,0,0,0,371,0,0,0,"MG"
730664,2022,10,11,"2022-10-11","21:57:00",3,"NE",31,0,61,0,0,0,0,40.62,-96.96,40.62,-96.96,0,0,0,0,0,151,0,0,0,"EG"
730665,2022,10,11,"2022-10-11","21:58:00",3,"NE",31,0,50,0,0,0,0,40.66,-96.66,40.66,-96.66,0,0,0,0,0,109,0,0,0,"MG"
730666,2022,10,11,"2022-10-11","22:00:00",3,"NE",31,0,76,0,0,0,0,40.31,-96.95,40.31,-96.95,0,0,0,0,0,95,0,0,0,"MG"
730667,2022,10,11,"2022-10-11","22:11:00",3,"NE",31,0,51,0,0,0,0,40.3,-96.75,40.3,-96.75,0,0,0,0,0,67,0,0,0,"EG"
730668,2022,10,11,"2022-10-11","22:15:00",3,"NE",31,0,56,0,0,0,0,40.55,-96.63,40.55,-96.63,0,0,0,0,0,109,0,0,0,"MG"
730669,2022,10,11,"2022-10-11","22:16:00",3,"NE",31,0,57,0,0,0,0,40.78,-96.29,40.78,-96.29,0,0,0,0,0,131,0,0,0,"EG"
730670,2022,10,11,"2022-10-11","22:32:00",3,"NE",31,0,59,0,0,0,0,40.24,-96.41,40.24,-96.41,0,0,0,0,0,133,0,0,0,"MG"
730671,2022,10,11,"2022-10-11","22:40:00",3,"NE",31,0,61,0,0,0,0,40.32,-96.54,40.32,-96.54,0,0,0,0,0,67,0,0,0,"EG"
730672,2022,10,12,"2022-10-12","08:41:00",3,"WI",55,0,50,0,0,1000,0,43.79,-89.33,43.79,-89.33,0,0,0,0,0,77,0,0,0,"EG"
730673,2022,10,12,"2022-10-12","10:23:00",3,"WI",55,0,50,0,0,12000,0,43.0717,-88.7839,43.0725,-88.7601,0,0,0,0,0,55,0,0,0,"EG"
730674,2022,10,12,"2022-10-12","10:36:00",3,"WI",55,0,50,0,0,7000,0,42.84,-88.74,42.84,-88.74,0,0,0,0,0,127,0,0,0,"EG"
730675,2022,10,12,"2022-10-12","10:39:00",3,"WI",55,0,61,0,0,15000,0,43.0925,-88.3398,43.1395,-88.5403,0,0,0,0,0,133,0,0,0,"EG"
730676,2022,10,12,"2022-10-12","10:43:00",3,"WI",55,0,50,0,0,5000,0,43.1103,-88.4413,43.1103,-88.4413,0,0,0,0,0,133,0,0,0,"EG"
730677,2022,10,12,"2022-10-12","10:45:00",3,"WI",55,0,52,0,0,0,0,43.33,-88.39,43.33,-88.39,0,0,0,0,0,131,0,0,0,"EG"
730678,2022,10,12,"2022-10-12","10:53:00",3,"WI",55,0,50,0,0,2000,0,43.14,-88.31,43.14,-88.31,0,0,0,0,0,133,0,0,0,"EG"
730679,2022,10,12,"2022-10-12","10:53:00",3,"WI",55,0,52,0,0,6000,0,42.73,-88.68,42.73,-88.68,0,0,0,0,0,127,0,0,0,"EG"
730680,2022,10,12,"2022-10-12","11:19:00",3,"IL",17,0,50,0,0,0,0,42.47,-88.4692,42.47,-88.4692,0,0,0,0,0,111,0,0,0,"EG"
730681,2022,10,12,"2022-10-12","11:20:00",3,"IL",17,0,50,0,0,0,0,42.47,-88.43,42.47,-88.43,0,0,0,0,0,111,0,0,0,"EG"
730682,2022,10,12,"2022-10-12","11:24:00",3,"WI",55,0,50,0,0,5000,0,42.66,-88.25,42.66,-88.25,0,0,0,0,0,101,0,0,0,"EG"
730683,2022,10,12,"2022-10-12","11:29:00",3,"WI",55,0,63,0,0,7000,0,42.95,-87.85,42.95,-87.85,0,0,0,0,0,79,0,0,0,"MG"
730684,2022,10,12,"2022-10-12","11:30:00",3,"WI",55,0,50,0,0,8000,0,42.9725,-87.9397,42.9698,-87.8799,0,0,0,0,0,79,0,0,0,"EG"
730685,2022,10,12,"2022-10-12","11:34:00",3,"WI",55,0,51,0,0,0,0,42.95,-87.9,42.95,-87.9,0,0,0,0,0,79,0,0,0,"MG"
730686,2022,10,12,"2022-10-12","11:47:00",3,"WI",55,0,50,0,0,4000,0,42.75,-87.83,42.75,-87.83,0,0,0,0,0,101,0,0,0,"EG"
730687,2022,10,12,"2022-10-12","12:00:00",3,"IL",17,0,52,0,0,0,0,42.26,-88.14,42.26,-88.14,0,0,0,0,0,97,0,0,0,"EG"
730688,2022,10,12,"2022-10-12","12:09:00",3,"IL",17,0,50,0,0,0,0,42.42,-87.85,42.42,-87.85,0,0,0,0,0,97,0,0,0,"EG"
730689,2022,10,12,"2022-10-12","13:04:00",3,"AL",1,0,50,0,0,0,0,32.33,-86.55,32.33,-86.55,0,0,0,0,0,85,0,0,0,"EG"
730690,2022,10,12,"2022-10-12","13:27:00",3,"AL",1,0,50,0,0,0,0,32.02,-86.45,32.02,-86.45,0,0,0,0,0,85,0,0,0,"EG"
730691,2022,10,12,"2022-10-12","13:27:00",3,"KY",21,0,50,0,0,5000,0,38.5313,-83.9702,38.5313,-83.9702,0,0,0,0,0,201,0,0,0,"EG"
730692,2022,10,12,"2022-10-12","13:28:00",3,"AL",1,0,50,0,0,0,0,32.1779,-86.3667,32.1779,-86.3667,0,0,0,0,0,101,0,0,0,"EG"
730693,2022,10,12,"2022-10-12","13:50:00",3,"KY",21,0,50,0,0,0,3000,37.8146,-83.1554,37.8146,-83.1554,0,0,0,0,0,153,0,0,0,"EG"
730694,2022,10,12,"2022-10-12","13:54:00",3,"KY",21,0,50,0,0,0,3000,37.7963,-83.0939,37.7963,-83.0939,0,0,0,0,0,153,0,0,0,"EG"
730695,2022,10,12,"2022-10-12","14:15:00",3,"AL",1,0,50,0,0,0,0,32.153,-85.791,32.153,-85.791,0,0,0,0,0,11,0,0,0,"EG"
730696,2022,10,12,"2022-10-12","14:35:00",3,"MS",28,0,43,0,0,2000,0,34.95,-88.9,34.95,-88.9,0,0,0,0,0,139,0,0,0,"EG"
730697,2022,10,12,"2022-10-12","14:45:00",3,"TN",47,0,50,0,0,5000,0,35.93,-87.29,35.93,-87.29,0,0,0,0,0,81,0,0,0,"EG"
730698,2022,10,12,"2022-10-12","14:46:00",3,"AL",1,0,50,0,0,0,0,32.24,-85.42,32.24,-85.42,0,0,0,0,0,113,0,0,0,"EG"
730699,2022,10,12,"2022-10-12","14:51:00",3,"MI",26,0,52,0,0,0,0,44.35,-84.67,44.35,-84.67,0,0,0,0,0,143,0,0,0,"MG"
730700,2022,10,12,"2022-10-12","14:55:00",3,"TN",47,0,50,0,0,0,0,35.38,-88.22,35.133,-88.013,0,0,0,0,0,71,0,0,0,"EG"
730701,2022,10,12,"2022-10-12","14:57:00",3,"TN",47,0,61,0,0,1000,0,35.9619,-87.1361,35.9619,-87.1361,0,0,0,0,0,187,0,0,0,"EG"
730702,2022,10,12,"2022-10-12","14:57:00",3,"TN",47,0,61,0,0,50000,0,35.9606,-87.1378,35.9606,-87.1378,0,0,0,0,0,187,0,0,0,"EG"
730703,2022,10,12,"2022-10-12","15:00:00",3,"TN",47,0,50,0,0,0,0,35.9456,-87.1469,35.9456,-87.1469,0,0,0,0,0,187,0,0,0,"EG"
730704,2022,10,12,"2022-10-12","15:03:00",3,"TN",47,0,50,0,0,0,0,35.96,-87.11,35.96,-87.11,0,0,0,0,0,187,0,0,0,"EG"
730705,2022,10,12,"2022-10-12","15:10:00",3,"TN",47,0,50,0,1,10000,0,35.9802,-86.9312,35.9802,-86.9312,0,0,0,0,0,187,0,0,0,"EG"
730706,2022,10,12,"2022-10-12","15:21:00",3,"TN",47,0,50,0,0,15000,0,36.0343,-86.7831,35.9117,-86.8724,0,0,0,0,0,187,0,0,0,"EG"
730707,2022,10,12,"2022-10-12","15:25:00",3,"TN",47,0,50,0,0,0,0,35.98,-86.77,35.98,-86.77,0,0,0,0,0,187,0,0,0,"EG"
730708,2022,10,12,"2022-10-12","15:32:00",3,"TN",47,0,50,0,0,2000,0,36.185,-86.7551,36.185,-86.7551,0,0,0,0,0,37,0,0,0,"EG"
730709,2022,10,12,"2022-10-12","15:32:00",3,"TN",47,0,50,0,0,1000,0,35.93,-86.68,35.93,-86.68,0,0,0,0,0,187,0,0,0,"EG"
730710,2022,10,12,"2022-10-12","15:43:00",3,"TN",47,0,50,0,0,0,0,36.3461,-86.5248,36.3461,-86.5248,0,0,0,0,0,165,0,0,0,"EG"
730711,2022,10,12,"2022-10-12","15:43:00",3,"TN",47,0,50,0,0,5000,0,35.39,-87.4,35.39,-87.4,0,0,0,0,0,99,0,0,0,"EG"
730712,2022,10,12,"2022-10-12","15:44:00",3,"GA",13,0,50,0,0,3000,0,31.75,-84.83,31.75,-84.83,0,0,0,0,0,243,0,0,0,"EG"
730713,2022,10,12,"2022-10-12","15:53:00",3,"TN",47,0,50,0,0,0,0,35.41,-87.28,35.41,-87.28,0,0,0,0,0,99,0,0,0,"EG"
730714,2022,10,12,"2022-10-12","15:57:00",3,"TN",47,0,50,0,0,5000,0,35.19,-87.34,35.19,-87.34,0,0,0,0,0,99,0,0,0,"EG"
730715,2022,10,12,"2022-10-12","16:08:00",3,"KY",21,0,51,0,0,0,0,37.0785,-85.6962,37.0785,-85.6962,0,0,0,0,0,169,0,0,0,"EG"
730716,2022,10,12,"2022-10-12","16:18:00",3,"KY",21,0,50,0,0,0,3000,38.1811,-83.7855,38.1811,-83.7855,0,0,0,0,0,11,0,0,0,"EG"
730717,2022,10,12,"2022-10-12","16:18:00",3,"KY",21,0,50,0,0,0,1000,38.1512,-83.8582,38.1512,-83.8582,0,0,0,0,0,11,0,0,0,"EG"
730718,2022,10,12,"2022-10-12","16:20:00",3,"KY",21,0,53,0,0,7500,500,38.1702,-83.8524,38.1702,-83.8524,0,0,0,0,0,11,0,0,0,"EG"
730719,2022,10,12,"2022-10-12","16:20:00",3,"KY",21,0,53,0,0,25000,0,38.1779,-83.8603,38.1779,-83.8603,0,0,0,0,0,11,0,0,0,"EG"
730720,2022,10,12,"2022-10-12","16:20:00",3,"KY",21,0,53,0,0,40000,0,38.1786,-83.8507,38.1786,-83.8507,0,0,0,0,0,11,0,0,0,"EG"
730721,2022,10,12,"2022-10-12","16:20:00",3,"KY",21,0,53,0,0,0,3000,38.173,-83.8519,38.173,-83.8519,0,0,0,0,0,11,0,0,0,"EG"
730722,2022,10,12,"2022-10-12","16:21:00",3,"KY",21,0,53,0,0,10000,0,38.1812,-83.836,38.1812,-83.836,0,0,0,0,0,11,0,0,0,"EG"
730723,2022,10,12,"2022-10-12","16:21:00",3,"KY",21,0,56,0,0,10000,0,38.1821,-83.8368,38.1821,-83.8368,0,0,0,0,0,11,0,0,0,"EG"
730724,2022,10,12,"2022-10-12","16:21:00",3,"KY",21,0,50,0,0,0,3000,38.2431,-83.7862,38.2431,-83.7862,0,0,0,0,0,11,0,0,0,"EG"
730725,2022,10,12,"2022-10-12","16:21:00",3,"KY",21,0,53,0,0,0,750,38.1799,-83.8462,38.1799,-83.8462,0,0,0,0,0,11,0,0,0,"EG"
730726,2022,10,12,"2022-10-12","16:21:00",3,"KY",21,0,53,0,0,0,2000,38.1801,-83.8468,38.1801,-83.8468,0,0,0,0,0,11,0,0,0,"EG"
730727,2022,10,12,"2022-10-12","16:22:00",3,"KY",21,0,53,0,0,10000,0,38.1883,-83.8277,38.1883,-83.8277,0,0,0,0,0,11,0,0,0,"EG"
730728,2022,10,12,"2022-10-12","16:24:00",3,"KY",21,0,53,0,0,9000,0,38.2019,-83.8136,38.2019,-83.8136,0,0,0,0,0,11,0,0,0,"EG"
730729,2022,10,12,"2022-10-12","16:57:00",3,"TN",47,0,50,0,0,0,0,35.4275,-86.4333,35.4275,-86.4333,0,0,0,0,0,3,0,0,0,"EG"
730730,2022,10,12,"2022-10-12","16:57:00",3,"TN",47,0,50,0,0,0,0,35.452,-86.2625,35.452,-86.2625,0,0,0,0,0,3,0,0,0,"EG"
730731,2022,10,12,"2022-10-12","16:57:00",3,"TN",47,0,50,0,0,0,0,35.3699,-86.498,35.3699,-86.498,0,0,0,0,0,3,0,0,0,"EG"
730732,2022,10,12,"2022-10-12","16:58:00",3,"TN",47,0,61,0,0,0,0,35.49,-86.36,35.49,-86.36,0,0,0,0,0,3,0,0,0,"EG"
730733,2022,10,12,"2022-10-12","17:12:00",3,"TN",47,0,50,0,0,0,0,35.4777,-86.0828,35.4777,-86.0828,0,0,0,0,0,31,0,0,0,"EG"
730734,2022,10,12,"2022-10-12","17:13:00",3,"TN",47,0,50,0,0,3000,0,35.499,-86.11,35.499,-86.11,0,0,0,0,0,31,0,0,0,"EG"
730735,2022,10,12,"2022-10-12","17:14:00",3,"TN",47,0,61,0,0,25000,0,35.47,-86.08,35.47,-86.08,0,0,0,0,0,31,0,0,0,"EG"
730736,2022,10,12,"2022-10-12","17:15:00",3,"TN",47,0,65,0,0,15000,0,35.488,-86.0764,35.488,-86.0764,0,0,0,0,0,31,0,0,0,"EG"
730737,2022,10,12,"2022-10-12","17:16:00",3,"TN",47,0,74,0,0,50000,0,35.496,-86.0746,35.4948,-86.0691,0,0,0,0,0,31,0,0,0,"EG"
730738,2022,10,12,"2022-10-12","17:28:00",3,"AL",1,0,43,0,0,10000,0,34.9103,-86.4829,34.9103,-86.4829,0,0,0,0,0,89,0,0,0,"EG"
730739,2022,10,12,"2022-10-12","17:35:00",3,"TN",47,0,56,0,0,0,0,35.7,-85.84,35.7,-85.84,0,0,0,0,0,177,0,0,0,"MG"
730740,2022,10,12,"2022-10-12","19:11:00",3,"MS",28,0,50,0,0,10000,0,34.5,-89.5,34.5,-89.5,0,0,0,0,0,71,0,0,0,"EG"
730741,2022,10,12,"2022-10-12","19:21:00",3,"AR",5,0,61,0,0,0,0,33.71,-92.81,33.71,-92.81,0,0,0,0,0,103,0,0,0,"EG"
730742,2022,10,12,"2022-10-12","19:50:00",3,"MS",28,0,50,0,0,10000,0,34.11,-89.63,34.11,-89.63,0,0,0,0,0,161,0,0,0,"EG"
730743,2022,10,12,"2022-10-12","20:48:00",3,"AL",1,0,43,0,0,500,0,34.58,-87.56,34.58,-87.56,0,0,0,0,0,33,0,0,0,"EG"
730744,2022,10,12,"2022-10-12","20:49:00",3,"AL",1,0,43,0,0,500,0,34.6256,-87.5895,34.6256,-87.5895,0,0,0,0,0,33,0,0,0,"EG"
730745,2022,10,12,"2022-10-12","20:55:00",3,"MS",28,0,50,0,0,1000,0,33.85,-91.03,33.85,-91.03,0,0,0,0,0,11,0,0,0,"EG"
730746,2022,10,12,"2022-10-12","21:18:00",3,"AR",5,0,50,0,0,0,0,33.2201,-92.8138,33.2201,-92.8138,0,0,0,0,0,139,0,0,0,"MG"
730747,2022,10,12,"2022-10-12","22:02:00",3,"MS",28,0,50,0,0,4000,0,33.31,-91.05,33.31,-91.05,0,0,0,0,0,151,0,0,0,"EG"
