"st","Hail","Tornado","Wind"
"AL",0,1305000,519000
"AR",1435000,310193000,2082000
"AZ",1000,0,1262500
"CA",250750,0,51000
"CO",20000,0,473020
"CT",0,515000,291700
"DC",0,0,462000
"DE",0,0,0
"FL",0,26742000,747520
"GA",7895620,16799000,6481150
"GU",0,0,1e+05
"IA",25000,560000,298500
"ID",1000,0,80800
"IL",5030000,1623000,6714000
"IN",500,2845000,3268250
"KS",1609250,210000,1015300
"KY",250,6091000,3473400
"LA",30000,258194000,4734500
"MA",0,60000,1293500
"MD",0,3341000,3379750
"ME",2e+05,4000,30000
"MI",2835000,320000,4109000
"MN",4655000,4983000,4247500
"MO",9932200,2310000,10943000
"MS",2842000,100703000,7631000
"MT",10000,0,1217000
"NC",0,9794000,5962500
"ND",105000,445000,3805000
"NE",2235000,276000,2869750
"NH",0,5000,465000
"NJ",0,0,129000
"NM",4300,25000,198500
"NV",0,0,25000
"NY",15000,360000,10576000
"OH",1000,1725000,4661800
"OK",5345000,2907000,8953500
"OR",0,40000,41000
"PA",2000,120000,5606200
"PR",0,0,1500
"RI",0,0,127000
"SC",1520,116207000,1049020
"SD",30000,75000,876000
"TN",16000,1606470000,23999430
"TX",133917210,13153000,15841200
"UT",0,0,0
"VA",2500,22219500,3237050
"VT",6000,0,596000
"WA",0,0,212000
"WI",47832200,647000,1333200
"WV",21000,0,2520500
"WY",1000,0,1000
