"st","Hail","Tornado","Wind"
"AL",0.0105,1.015,1.421
"AR",0.0483,226.8,11.1531
"AZ",0.025,0.55,3.1095
"CA",5e-04,0,3.778
"CO",213.313,0.008,0.2422
"CT",0,0.025,0.237
"DC",0,0,0.006
"DE",0,0.15,0.142
"FL",0,3.124,1.415
"GA",1.106,2.8935,3.1909
"IA",14.673,7.183,8.6753
"ID",0.316,0.001,4.1316
"IL",101.4,4.316,5.7765
"IN",0.04,2.471,61.1883
"KS",4.0795,10.61,11.9578
"KY",0.041,1.484,3.1755
"LA",0.031,5.842,1.8889
"MA",0.005,4.1,2.158
"MD",0,0,0.352
"ME",0,0,1.4
"MI",55.276,6.179,9.6785
"MN",0.092,0.973,1.8147
"MO",0.335,0.61,2.2775
"MS",2.469,197.9595,5.8294
"MT",0,0,0.0875
"NC",0.3642,22.454,2.8047
"ND",3.905,2.5,6.039
"NE",26.377,52.531,29.12
"NH",0.01,0,0.1875
"NJ",0.001,0,1.8135
"NM",0.253,0.2,0.731
"NV",0.0165,0.002,0.0737
"NY",0.1,1.16,3.616
"OH",0.885,2.594,3.4663
"OK",0.77,16.105,1.908
"OR",0,0,0.066
"PA",0.124,0.3185,2.5189
"PR",0,0,0
"RI",0,0,0
"SC",8.7527,0.011,0.5751
"SD",5.724,5.73,0.167
"TN",0.015,1.425,2.841
"TX",975.2145,5.5905,9.8544
"UT",0.001,0,0.092
"VA",0.136,0.725,3.3555
"VT",0.135,0,1.109
"WA",0.021,0.187,8.444
"WI",0.1005,39.003,2.1459
"WV",0.022,0.67,2.8737
"WY",0.664,0.132,0.088
