"st","Hail","Tornado","Wind"
"AL",0,3659000,660300
"AR",150500,41440000,1107000
"AZ",30000,0,6424550
"CA",26050,10000,1478000
"CO",15000,550500,1201900
"CT",0,514000,242900
"DC",0,2e+05,542000
"DE",0,0,0
"FL",0,2795000,5248420
"GA",8750040,24083000,2847130
"GU",0,0,10000
"HI",0,0,0
"IA",316000,17057500,3364000
"ID",9000,0,10000
"IL",1e+05,8487000,2261000
"IN",0,436500,2526000
"KS",724110,245000,1713100
"KY",23130,1630000,987950
"LA",57000,8404000,761100
"MA",0,49000,878100
"MD",0,670000,4699500
"ME",0,0,285000
"MI",493000,17345000,6236800
"MN",9923000,4207000,2460000
"MO",180000,14725000,3504000
"MS",459000,7590000,7093600
"MT",0,0,1310000
"NC",45000,2181000,1190400
"ND",2771000,153000,1626000
"NE",2175000,4342000,36866300
"NH",2000,0,20000
"NJ",0,5330000,213500
"NM",701500,0,7705500
"NV",5e+05,0,667000
"NY",0,2683500,2526000
"OH",5000,4105500,886700
"OK",325000,20226000,2332000
"OR",0,0,1e+06
"PA",20000,14575000,25791950
"PR",1500,0,26000
"RI",0,110000,37100
"SC",230,1775000,382470
"SD",5e+05,2e+05,3952000
"TN",0,44447200,10211600
"TX",994134800,13247000,18017450
"UT",20000,0,658500
"VA",1028000,1793000,6350000
"VT",0,75000,1144000
"WA",0,40000,10000
"WI",2163000,3023000,3333000
"WV",10000,1e+05,1081000
"WY",0,0,41000
