"st","Hail","Tornado","Wind"
"AL",2.929,6341.922,6.955
"AR",2.524,303.181,15.396
"AZ",0.161,0,7.017
"CA",0,0.634,1.28
"CO",164.851,0.04,4.733
"CT",0.005,0,0.663
"DC",0,0,0.006
"DE",0,0,0.465
"FL",0,11.208,3.89
"GA",45.065,265.009,41.864
"HI",0,0,0
"IA",4.013,38.316,16.42
"ID",0,0.007,0.127
"IL",19.525,16.823,21.709
"IN",0.066,4.72,6.866
"KS",11.61,20.725,4.122
"KY",1.087,10.655,10.276
"LA",0.276,41.509,7.49
"MA",0,227.6,2.894
"MD",0.032,0.835,1.167
"ME",0,0,0
"MI",23.001,1.851,39.9
"MN",0.663,186.58,13.258
"MO",9.35,2869.262,6.51
"MS",3.05,652.303,20.223
"MT",0.006,0.375,0.52
"NC",0.097,412.754,5.194
"ND",0.527,5.825,7.484
"NE",4.132,19.701,9.914
"NH",0,0,0.173
"NJ",0.01,0.125,1.223
"NM",0.001,0,0.113
"NV",0,0,1.324
"NY",1.376,2.78,3.449
"OH",92.395,2.586,12.257
"OK",1.464,6.312,3.306
"OR",0,0.001,0.008
"PA",0.378,5.175,5.996
"PR",0,0.08,0.365
"RI",0,0,0.338
"SC",2.517,2.91,5.92
"SD",11.319,0.085,2.328
"TN",6.038,99.739,31.249
"TX",9.045,20.241,20.155
"UT",0,0,0.199
"VA",0.06,32.856,8.134
"VT",0.097,0.02,1.057
"WA",0,0.01,0.002
"WI",31.974,49.202,16.248
"WV",0.347,0.006,2.68
"WY",0.547,0,0.383
