"st","Hail","Tornado","Wind"
"AL",1.598,17.352,4.321
"AR",9.224,163.054,1.404
"AZ",0,0.26,102.055
"CA",0.002,0.574,1.435
"CO",130.68,0.72,0.08
"CT",0.002,2,0.001
"DC",0,0,0.15
"DE",0,0,0
"FL",26.715,10.29,1.862
"GA",0.058,9.82,4.909
"HI",0,0,0
"IA",2.943,1.673,4.694
"ID",0,0.1,0.27
"IL",1.715,70.563,9.381
"IN",1.5,8.73,3.862
"KS",7.598,5.14,33.726
"KY",20.014,118.22,1.058
"LA",0.067,7.89,0.894
"MA",0.006,0,4.114
"MD",0.016,7.954,2.246
"ME",0,0.01,0
"MI",5.175,5.585,4.865
"MN",3.451,3.11,39.009
"MO",0.274,20.85,16.395
"MS",18.895,2.565,2.332
"MT",0.032,0.03,0.03
"NC",13.572,8.861,2.16
"ND",10.421,0.91,7.81
"NE",15.468,18.228,6.24
"NH",0,0,0
"NJ",0,0.01,12.45
"NM",0.8,1.69,0.495
"NV",0,0,0.12
"NY",0.119,0.78,1.255
"OH",0.103,0.672,5.913
"OK",0.261,151.862,3.724
"OR",0,0.05,1.5
"PA",0.041,3.25,17.641
"PR",0,0.01,0
"RI",0,0,0.75
"SC",0,5.666,1.24
"SD",0.589,2.76,1.78
"TN",0.039,7.864,4.217
"TX",322.863,9.556,34.285
"UT",0.05,0.7,0.52
"VA",0.027,5.421,4.249
"VT",0,0,0.315
"WA",0,0.05,0
"WI",1.304,41.152,25.857
"WV",0.075,0.07,1.081
"WY",11.013,0.13,0.051
