"st","Hail","Tornado","Wind"
"AL",0.169,13.648,3.301
"AR",0.605,4.853,1
"AZ",0.005,0,5
"CA",0.1,0.46,0
"CO",77.62,8.28,2.5
"CT",0,0.49,0
"DC",0,0.002,0
"DE",0,0,0
"FL",0.45,15.317,0
"GA",1.804,4.658,0.001
"IA",15.547,7.157,8.18
"ID",0,0,0
"IL",0.1,7.8,8.501
"IN",0.016,28.246,0
"KS",0.708,47.1,0.002
"KY",0.029,18.27,0
"LA",0.12,3.45,1.5
"MA",0.02,0.03,0
"MD",0.005,102.104,0
"ME",0,0,0
"MI",0.605,28.07,3
"MN",57.094,57.882,31.98
"MO",1051.757,18.591,6.001
"MS",1.339,77.313,25.701
"MT",0.155,0,1.6
"NC",0,0.33,0
"ND",236.22,2.15,19
"NE",553.501,10.424,1.473
"NH",0,0,0
"NJ",0,1.01,0
"NM",0.12,0,0
"NV",0,0,0
"NY",0.411,0.001,0
"OH",71.228,3.114,0.004
"OK",2.256,105.769,32.502
"OR",0.024,0,0
"PA",0.01,1.25,0.002
"PR",0,0.02,0
"RI",0,0,0
"SC",0,8.8,1.501
"SD",22.12,0.42,4.14
"TN",0.006,4.9,0.001
"TX",249.585,344.965,35.001
"UT",0.002,0,0.001
"VA",0.27,4.492,0
"VT",0,0,0
"WA",0.215,0.1,0
"WI",24.026,11.36,21.444
"WV",0.243,0.18,0
"WY",0.1,0,0
