"st","Hail","Tornado","Wind"
"AL",0.005,1.77,1.1025
"AR",0.11,9.235,6.987
"AZ",5e-04,0,2.0062
"CA",0.001,0.02,0.1535
"CO",0.0014,0.005,0.0983
"CT",0,5.075,0.2795
"DC",0,0,0.002
"DE",0,0,0.11
"FL",0.725,6.4545,0.808
"GA",58.5174,77.252,5.0703
"HI",0,0,0
"IA",1.447,5.419,6.7967
"ID",0.4925,0,0.1975
"IL",0.016,1078.802,7.7915
"IN",7e-04,3.4085,1.8033
"KS",31.7577,2.138,3.0858
"KY",0.05,12.973,3.546
"LA",0.216,2.215,7.4682
"MA",3,0.02,0.5895
"MD",0,0.041,0.2694
"ME",0,0,0
"MI",0.005,0.991,3.466
"MN",0.1402,2,21.494
"MO",1.325,68.4768,2.6287
"MS",557.019,44.332,4.3705
"MT",0.1791,0.5,0.3932
"NC",0.1568,6.9005,11.0168
"ND",0.485,0.1,1.688
"NE",5.8115,7.74,25.8455
"NH",0,0,0.205
"NJ",0.005,0.3,0.4308
"NM",0.1239,0,2.234
"NV",0,0,2.075
"NY",0.4075,0.235,4.5375
"OH",1.283,7.12,15.894
"OK",4.1115,2009.033,3.2118
"OR",0,0.001,0.001
"PA",0.099,0.5215,5.684
"PR",0,0.01,0
"RI",0,0,0.085
"SC",0.0212,0.643,2.7548
"SD",68.85,0.775,2.6615
"TN",0.008,8.149,3.3345
"TX",496.0772,270.215,444.0999
"UT",0.001,0.01,0.455
"VA",0.004,0.05,3.6988
"VT",0.01,0,1.255
"WA",0,0.035,0.816
"WI",1.919,19.502,9.3651
"WV",0.068,0,2.1137
"WY",11.03,0,0.145
