"st","Hail","Tornado","Wind"
"AL",0,1.599,4.044
"AR",0.145,12.812,15.5341
"AZ",0,0,2.397
"CA",0,0.05,2.709
"CO",321.103,1.16,0.037
"CT",0.005,0,0.6287
"DC",0,0,0.078
"DE",0,0.1,0.638
"FL",0.0033,4.131,1.1375
"GA",27.8012,14.595,5.3212
"HI",0,0,0
"IA",0.765,6.36,4.8546
"ID",0.006,0,0.107
"IL",0.103,3.524,12.6176
"IN",3.3662,118.72,9.4721
"KS",6.889,500.41,3.1227
"KY",4.519,278.609,7.8115
"LA",1.1665,12.054,9.2672
"MA",0,0.003,1.0835
"MD",0,0.887,3.3047
"ME",0,0,0
"MI",0.658,12.695,1.2039
"MN",0.9873,2.092,7.0827
"MO",0.3,24.985,2.898
"MS",0.8125,12.104,6.3729
"MT",6.015,0,1.815
"NC",3.0607,19.5505,3.0769
"ND",0.1,0,0.6991
"NE",53.703,2.699,2.446
"NH",0,0,0.133
"NJ",0.005,0.025,20.7806
"NM",0.6005,0.051,0.0295
"NV",50.001,0,0.064
"NY",1.337,10.718,3.5309
"OH",8.7115,8.895,42.2385
"OK",450.7005,0.41,4.3977
"OR",0,0,0.201
"PA",0.278,9.335,9.4022
"PR",0,0.03,0
"RI",0,0.05,0.1705
"SC",1.9257,0.917,2.3457
"SD",2.702,0.501,2.0131
"TN",25.107,47.106,6.1322
"TX",1435.78,724.131,18.0924
"UT",0,0,0.014
"VA",1.8538,3.043,23.8048
"VT",0.025,0.01,1.413
"WA",0.0012,0,1.136
"WI",2.3277,0.42,5.7417
"WV",0.824,2.34,57.7749
"WY",0.7,0,0.266
