"st","Hail","Tornado","Wind"
"AK",0,0,0
"AL",0.15,6.103,3.735
"AR",0.019,12.788,1.855
"AZ",0,0,0.536
"CA",0.02,0.023,5.36
"CO",148.605,3.056,0.183
"CT",0,0,0.035
"DC",0,0,0.001
"DE",0,1,0.08
"FL",0.007,15.356,1.787
"GA",0.251,5.735,5.521
"HI",0,0,0
"IA",4.22,5.247,4.51
"ID",0,0.1,0.046
"IL",0.354,18.87,7.2
"IN",0.011,46.051,1.852
"KS",2.19,29.331,5.386
"KY",0,11.15,7.819
"LA",0.002,10.584,4.666
"MA",0.14,1.53,0.531
"MD",0.03,1.345,0.73
"ME",0,0,0
"MI",4.9,0.782,1.91
"MN",0.203,5.425,5.718
"MO",8.834,15.01,2.974
"MS",0.044,18.549,3.341
"MT",0.083,0,0.467
"NC",0.105,3.425,0.902
"ND",0,2.48,1.02
"NE",13.158,173.262,13.465
"NH",0,0,0.1
"NJ",0,0.6,0
"NM",48.593,0,0.97
"NV",0,0,0.1
"NY",1.449,0.34,4.366
"OH",25.718,0.3,10.678
"OK",3.784,10.584,10.27
"OR",0.05,0.001,0.301
"PA",1.002,22.231,2.308
"PR",0,0,15.01
"RI",0,0,0.5
"SC",0.01,4.138,1.086
"SD",1.4,0.141,2.92
"TN",0.01,2.051,9.144
"TX",190.679,9.759,18.843
"UT",0.07,0,0.025
"VA",0.025,73.814,3.213
"VT",0.001,0,0.331
"WA",0.003,0.06,0.076
"WI",6.854,30.224,5.581
"WV",0.015,0.34,0.539
"WY",0,0,0.05
