"st","Hail","Tornado","Wind"
"AL",0,2842000,3713300
"AR",233000,4743000,3975000
"AZ",0,0,1553600
"CA",20001130,25000,3579000
"CO",2300025300,2000,2109500
"CT",0,0,99250
"DC",0,0,0
"DE",0,0,0
"FL",0,1646000,1929250
"GA",10866519,322523000,23087010
"HI",0,0,0
"IA",984500,4874000,3996000
"ID",2700,200,189200
"IL",3191000,17761000,13052750
"IN",94500,17595000,2823300
"KS",820700,987000,2110400
"KY",141000,6190000,15825750
"LA",317000,12837000,1080000
"MA",0,650000,454000
"MD",0,750000,309500
"ME",0,0,0
"MI",0,310000,2839000
"MN",2803000,5120000,6206500
"MO",1006000,27975000,2871000
"MS",634000,30250000,8686400
"MT",30000,0,70000
"NC",12007500,40333000,6345450
"ND",735000,3851000,5162000
"NE",23155000,4107000,7003250
"NH",0,0,0
"NJ",0,0,39720
"NM",3661200,0,4139500
"NV",3100,0,72500
"NY",69000,462000,5333750
"OH",31100,23730000,23216000
"OK",952000,77690000,1141000
"OR",0,280000,17000
"PA",15000,2110000,8742060
"PR",5e+05,0,1010000
"RI",0,0,13500
"SC",5270,3793000,930810
"SD",11000,0,136000
"TN",31000,9380000,15496700
"TX",235243500,23610500,48434000
"UT",0,0,659000
"VA",6200,9994000,1020400
"VT",61000,0,846000
"WA",0,4000,791000
"WI",4598000,12119500,4245600
"WV",0,385000,984600
"WY",0,1211000,10000
