"st","Hail","Tornado","Wind"
"AL",1.366,207.961,7.864
"AR",0.168,2.052,1.756
"AZ",0,0.004,1.309
"CA",0,5.641,0.856
"CO",91.123,0.2,0.342
"CT",0,0.004,0.032
"DC",0,0,0.05
"DE",0,0,1.5
"FL",0.207,382.786,12.324
"GA",1.022,167.447,9.943
"IA",7.383,29.535,140.345
"ID",0.004,0.054,0.447
"IL",7.085,11.353,12.945
"IN",0.01,13.88,5.991
"KS",13.378,7.206,16.234
"KY",510.194,19.09,7.051
"LA",0.68,9.34,33.943
"MA",0.013,0,10.185
"MD",0.19,6.96,0.931
"ME",0,0.003,0.51
"MI",0.4,6.422,181.641
"MN",56.652,237.91,88.937
"MO",0.369,8.711,2.566
"MS",1.482,0.524,38.801
"MT",14.116,0.534,0.391
"NC",2.21,92.693,2.93
"ND",0.744,0.75,0.359
"NE",5.087,7.374,9.844
"NH",0.01,0.03,0.015
"NJ",0,2.05,8.22
"NM",0.49,0,0.127
"NV",0.08,0.03,1.645
"NY",1.569,147.92,178.809
"OH",2.189,21.322,16.849
"OK",1.146,10.492,14.087
"OR",2,0.013,0.207
"PA",0.07,44.49,45.578
"RI",0,0,0
"SC",0.136,13.742,1.251
"SD",4.272,19.561,2.865
"TN",1.634,133.831,4.67
"TX",24.317,15.674,84.089
"UT",0.301,0.092,0.601
"VA",0.437,2.46,1.218
"VT",0.03,0.63,1.272
"WA",0,0,0.115
"WI",0.58,10.49,71.38
"WV",12.167,6.6,5.941
"WY",0.044,0.02,0.022
