"st","Hail","Tornado","Wind"
"AL",0.218,0.805,5.223
"AR",1.562,22.156,2.173
"AZ",18.101,0,39.855
"CA",0.04,0.033,0.268
"CO",38.33,4.181,1.04
"CT",0.011,0,0.057
"DC",0,0,0.027
"DE",0,0,0.2
"FL",0.751,14.839,7.102
"GA",0.187,11.046,4.744
"HI",0,0,0
"IA",1.852,12.069,4.648
"ID",0.025,0.05,0.259
"IL",1.26,22.601,4.119
"IN",0.103,2.53,2.025
"KS",58.952,147.176,6.137
"KY",0.001,1.07,5.197
"LA",0.232,23.527,2.686
"MA",0,0,0.034
"MD",0,0.88,0.711
"ME",0,0.01,0.045
"MI",0.21,2.1,4.387
"MN",5.211,2.71,1.43
"MO",6.954,13.461,5.335
"MS",0.985,7.659,5.114
"MT",1.591,4.307,0.198
"NC",0.175,13.672,1.377
"ND",2.804,4.39,108.398
"NE",70.293,7.867,5.439
"NH",0,0.1,0
"NJ",0,4.3,0.03
"NM",0.116,0,1.401
"NV",0,0,0.005
"NY",0.079,1,5.413
"OH",0.011,93.23,11.463
"OK",5.638,1109.674,21.712
"OR",0,0.01,0.004
"PA",0.035,3.45,6.187
"PR",0,0,0.01
"RI",0,0,0
"SC",12.079,0.521,2.054
"SD",1.03,3.49,1.471
"TN",0.035,115.761,15.922
"TX",170.569,286.794,20.824
"UT",0.04,170.7,0.031
"VA",39.16,8.36,1.707
"VI",0,0,0
"VT",0,0,0.51
"WA",0.005,0,0.005
"WI",0.658,1.113,6.135
"WV",2.105,0.08,0.722
"WY",1.69,0.012,0.07
