"st","Hail","Tornado","Wind"
"AL",8.958,3.085,5.926
"AR",50.14,2.221,2.452
"AZ",0.05,0,1.969
"CA",0.07,0,0.292
"CO",5.035,0.12,0.125
"CT",0,0,0.026
"DC",0,0,0.638
"DE",0,0,0
"FL",0.085,90.151,3.517
"GA",0.165,8.868,6.922
"IA",65.261,7.81,18.885
"ID",0,0,0.245
"IL",17.398,52.282,88.218
"IN",0,0.75,2.244
"KS",6.174,152.72,11.235
"KY",30.045,25.491,3.295
"LA",0.177,4.302,2.81
"MA",0,0,0.234
"MD",0,1.761,1.165
"ME",0,0,0
"MI",1.92,2.003,1.568
"MN",0.308,19.76,8.374
"MO",18.545,284.568,1.588
"MS",3.426,57.899,12.207
"MT",0.01,0,0.715
"NC",9.21,3.107,3.111
"ND",1.26,0.25,5.74
"NE",12.622,20.96,6.4
"NH",0,0,0.02
"NJ",0.11,2.1,4.5
"NM",0.041,0.02,0.125
"NV",0,0,0.03
"NY",0.072,1.984,2.775
"OH",145.279,22.551,20.645
"OK",21.628,394.869,5.885
"OR",0,0,0.002
"PA",0.027,47.03,4.323
"PR",0,0,0
"RI",0,0,0.025
"SC",0.301,1.132,1.652
"SD",1.489,13.54,4.047
"TN",0.068,111.585,47.702
"TX",85.149,25.08,69.864
"UT",0,0.002,0.123
"VA",0.217,1.014,2.103
"VT",0,0.16,0.262
"WA",0,0.01,0.015
"WI",0.053,0.53,0.504
"WV",0.002,1.5,1.595
"WY",17.032,0,0.1
