"st","Wind","Hail","Tornado"
"AK",0,0,0
"AL",5.844,0.033,28.592
"AR",13.912,88.724,369.976
"AZ",35.284,0.05,0
"CA",0.688,0.005,1.11
"CO",0.219,1.039,147.08
"CT",0.515,0.001,0
"DC",0.075,0,0
"DE",0.455,0,0
"FL",14.402,0.003,10.911
"GA",32.571,71.879,171.922
"HI",0,0,0
"IA",24.403,1.943,107.121
"ID",0.498,0.002,0.001
"IL",11.579,2.162,17.357
"IN",7.286,1.196,57.604
"KS",8.185,8.989,110.605
"KY",13.947,0.05,45.006
"LA",6.213,0.676,13.763
"MA",1.986,0.002,0.015
"MD",3.835,0.016,1.442
"ME",0,0,0
"MI",11.151,0.08,0.65
"MN",2.545,0.872,40.34
"MO",4.514,1.958,98.14
"MS",104.288,2.025,282.435
"MT",0.113,0.091,0
"NC",3.541,0.108,22.407
"ND",2.052,2.392,2.058
"NE",54.825,8.188,15.518
"NH",0.244,0,2.027
"NJ",1.904,0.325,0
"NM",3.72,3.553,0.012
"NV",0.014,0,0
"NY",4.707,2.165,0.045
"OH",7.903,63.367,3.342
"OK",764.327,43.004,80.131
"OR",0.378,0.001,0
"PA",6.809,0.59,2.11
"RI",0.039,0.02,0.105
"SC",2.53,3.805,5.922
"SD",0.558,1.125,0.21
"TN",3.493,0.174,299.581
"TX",88.012,151.883,56.93
"UT",0.092,0,0
"VA",3.411,1.198,45.514
"VT",1.467,0.005,0.15
"WA",0.014,0.001,0.525
"WI",2.684,0.39,26.728
"WV",2.3,0.262,0.215
"WY",0.002,0.025,0.35
