"st","Wind","Hail","Tornado"
"AK",0.01,0,0
"AL",3.333,1.22,20.123
"AR",2.196,3.107,0.69
"AZ",72.534,0.21,0
"CA",0.181,0,0.53
"CO",0.112,24.02,6.13
"CT",0.14,0.014,0.05
"DC",0.593,0,0
"DE",0.1,0.1,0
"FL",2.608,0.004,3.703
"GA",18.928,0.354,11.797
"HI",0,0,0.06
"IA",9.982,22.18,0.076
"ID",0.079,0,0.06
"IL",0.822,21.597,16.045
"IN",1.666,2.1,110.12
"KS",17.661,1.314,21.874
"KY",5.446,40.206,19.734
"LA",3.663,0,18.79
"MA",0.475,0.01,0.05
"MD",1.64,0,125.82
"ME",0,0,0
"MI",1.663,0.081,7.792
"MN",3.147,0.134,1.841
"MO",3.883,0.297,52.024
"MS",11.164,0.233,127.171
"MT",1.001,2.11,0.26
"NC",2.46,0.078,3.071
"ND",0.346,0.001,0.652
"NE",5.788,102.875,0.043
"NH",0.07,0,0
"NJ",10.2,0,0
"NM",0.424,1.083,0
"NV",0.064,0,0
"NY",5.912,0.121,3.62
"OH",14.019,12.88,142.371
"OK",5.642,0.151,0.27
"OR",0.002,0,0.5
"PA",12.865,0.22,4.9
"PR",0,0,0.01
"RI",0.016,0,0
"SC",1.002,0.501,1.022
"SD",7.003,4.95,1.01
"TN",7.491,0.131,23.25
"TX",21.751,46.192,103.885
"UT",0.083,0,2
"VA",4.338,0.636,9.583
"VT",0.27,0,0.1
"WA",0.796,0,0
"WI",10.84,5.528,39.76
"WV",0.768,0.836,0.1
"WY",0.173,30,0.03
