"st","Hail","Tornado","Wind"
"AL",0.162,13.245,6.507
"AR",66.0911,149.963,26.4979
"AZ",0.005,0,2.3365
"CA",0.155,0.1,1.765
"CO",602.3469,0.86,0.492
"CT",0.05,0.77,1.5135
"DC",0,0,0
"DE",0,0,1.05
"FL",0,6.204,4.5965
"GA",58.766,40.188,7.4149
"HI",0,0,0
"IA",33.5227,1.542,12.7141
"ID",0.0043,0,0.134
"IL",0.435,25.357,297.7908
"IN",0.2305,2.913,9.0132
"KS",29.7293,5.376,48.0832
"KY",0.3883,1.561,5.6637
"LA",0.063,33.652,715.8129
"MA",0.058,0,0.426
"MD",0.003,0.01,0.589
"ME",0,0,0
"MI",0.003,0,4.003
"MN",0.422,4.504,0.2105
"MO",0.6455,18.432,144.3581
"MS",0.157,23.669,11.7201
"MT",0.0735,0,0.38
"NC",0.0445,3.21,7.2543
"ND",1.308,21.482,0.565
"NE",4.9955,1.885,1.986
"NH",0,0,0.107
"NJ",0,1.675,2.1996
"NM",0.362,0.01,1.093
"NV",0,0,0.0137
"NY",0.081,3.236,3.404
"OH",0.525,0.308,3.3815
"OK",0.925,59.757,5.754
"OR",0.001,0.2,0.03
"PA",0.028,2.035,7.1775
"PR",0,0.015,0
"RI",0,0,0.0015
"SC",0.0045,9.437,3.3266
"SD",16.484,0.136,1.3485
"TN",0.026,107.809,7.7295
"TX",614.0462,55.3,37.8289
"UT",0.22,0.066,0.03
"VA",0.017,1.053,4.5065
"VT",0.09,0.175,0.095
"WA",0,0.21,0.012
"WI",4.59,0.823,2.8416
"WV",0.056,0,1.8049
"WY",1.8755,0.317,0.2225
