"st","Hail","Tornado","Wind"
"AL",0,309000,8221500
"AR",1423000,22517000,2430200
"AZ",50500,350000,8190800
"CA",23500,0,585000
"CO",17000,5000,62000
"CT",0,0,167100
"DC",0,0,57500
"DE",0,0,0
"FL",500500,17251240,6498050
"GA",40,1515000,1244670
"GU",0,0,0
"HI",0,0,0
"IA",20000,224925000,1375000
"ID",172600,0,576200
"IL",1000,1657000,1543000
"IN",0,910000,4208000
"KS",3330000,51500000,1188600
"KY",4000,850000,4403800
"LA",25000,189252000,603000
"MA",0,0,477400
"MD",103000,910000,6586500
"ME",0,0,392000
"MI",10056000,50245000,8504500
"MN",709000,10420000,18717700
"MO",6952000,5e+05,2757000
"MS",37167500,13597100,5120800
"MT",1513000,0,50000
"NC",0,3541000,3639950
"ND",2357000,275000,4041000
"NE",61401000,2700000,38716500
"NH",6000,8000,275000
"NJ",0,0,89000
"NM",552000,0,71000
"NV",0,0,141900
"NY",20000,1043000,2054900
"OH",351000,6637750,4603950
"OK",1290000,39447000,1055000
"OR",50000,75000,5000
"PA",2435000,949000,3078500
"PR",10000,0,85000
"RI",0,0,12800
"SC",760,3e+05,486990
"SD",0,0,180000
"TN",25000,1075000,1753600
"TX",3907500,90354000,6235500
"UT",52500,0,131000
"VA",3000,2428000,63578450
"VT",2000,10000,1086000
"WA",2e+05,50000,321800
"WI",5e+05,6710000,2051000
"WV",16500,1550000,2407350
"WY",0,0,12000
