"st","Hail","Tornado","Wind"
"AL",0.753,8.971,3.801
"AR",3.263,132.322,3.402
"AZ",0.013,0.013,153.882
"CA",0.005,0.102,0.16
"CO",0.205,0.14,3.355
"CT",0,2,0.3435
"DC",0,0,0.23
"DE",0,0,0.01
"FL",0.111,61.99,8.2875
"GA",16.403,16.455,5.3455
"HI",0,0,0
"IA",4.11,12.846,3.562
"ID",0,0.321,1.05
"IL",0.658,4.925,23.807
"IN",0.795,11.956,8.66
"KS",76.678,4.78,11.822
"KY",0.657,43.15,3.902
"LA",2.1,4.556,3.8398
"MA",0.155,0.2,2.895
"MD",0,7.003,9.082
"ME",0,0.12,0.02
"MI",1.81,0.66,3.606
"MN",116.216,77.242,0.143
"MO",10.102,163.494,4.082
"MS",17.795,7.982,47.0305
"MT",0.015,0,2.121
"NC",0.132,2.28,2.913
"ND",1.085,0.241,13.685
"NE",2.701,5.542,4.625
"NH",0,0.003,0.197
"NJ",0,0.1,0.01
"NM",10.01,0,0.008
"NV",0,0,0
"NY",0.315,22.472,1.446
"OH",201.457,55.453,12.199
"OK",0.782,13.171,5.1
"OR",27,0.02,0.56
"PA",0.009,3.355,2.59
"PR",0,0.03,0
"RI",0,0,0.165
"SC",0.005,2.591,1.618
"SD",0.125,17.16,1.258
"TN",1.335,154.397,7.588
"TX",125.11,24.039,19.874
"UT",0,0,9.26
"VA",0.004,0.432,10.151
"VT",0.001,0,0.585
"WA",0.001,0,1.252
"WI",671.744,5.014,6.775
"WV",7.095,0,2.331
"WY",0.026,0,0.099
