"st","Hail","Tornado","Wind"
"AK",0,0,0
"AL",0,1.435,3.6415
"AR",0.336,3.485,2.459
"AZ",2.1075,0,5.253
"CA",0.005,20.025,2.6045
"CO",0,0.2295,0.1041
"CT",0,0,0.2475
"DC",0,0,0.009
"DE",0,0.2,0.14
"FL",0,0.347,1.1865
"GA",17.4872,0.743,3.7354
"HI",0,0,0
"IA",0.911,5.543,61.7415
"ID",0,0,0.0455
"IL",1.25,50.995,4.966
"IN",0.085,1.044,1.552
"KS",5.191,12.134,3.7356
"KY",0.115,0.84,2.9126
"LA",0.016,1.167,3.713
"MA",0,0.045,1.365
"MD",0,0.518,0.8135
"ME",0,0,0.025
"MI",33.15,5.341,40.711
"MN",0.045,3.22,2.0835
"MO",0.875,2.317,1.452
"MS",0.101,24.787,2.4985
"MT",0.023,0.1,3.8215
"NC",10.0075,0.2275,1.9257
"ND",1.3,0.33,4.219
"NE",4.777,6.3,6.6788
"NH",0,0,0
"NJ",0,0,32.525
"NM",0.0755,0.12,2.4852
"NV",0,0,0.468
"NY",0.037,0.035,3.4933
"OH",0.1153,0.89,4.2359
"OK",0.85,59.32,1.5269
"OR",0,0.025,0
"PA",0.026,5.265,8.6273
"PR",0,0,0
"RI",0,0,0.347
"SC",0.0486,1.795,2.4713
"SD",1.894,1.735,2.803
"TN",0.01,7.422,1.336
"TX",504.9506,114.77,17.1987
"UT",0,0,0.154
"VA",0,0.124,1.2097
"VT",0,0,0.1
"WA",5e-04,0.311,5e-04
"WI",0.014,0.5181,3.5695
"WV",0.16,0.425,1.9218
"WY",0.037,0,0.153
