st,mo,Hail
OH,10,91
OH,11,116
OH,12,14
OK,1,292
OK,2,511
OK,3,3209
OK,4,6708
OK,5,8169
OK,6,4492
OK,7,1264
OK,8,1058
OK,9,1221
OK,10,972
OK,11,618
OK,12,213
OR,1,1
OR,3,6
OR,4,29
OR,5,156
OR,6,165
OR,7,212
OR,8,225
OR,9,26
OR,10,1
OR,11,2
OR,12,1
PA,1,11
PA,2,32
PA,3,193
PA,4,427
PA,5,1150
PA,6,1258
PA,7,1012
PA,8,678
PA,9,223
PA,10,50
PA,11,53
PA,12,10
PR,2,2
PR,4,2
PR,5,9
PR,6,5
PR,7,8
PR,8,4
PR,9,4
PR,10,3
PR,11,2
PR,12,1
RI,3,1
RI,4,4
RI,5,19
RI,6,42
RI,7,49
RI,8,10
RI,9,3
SC,1,46
SC,2,74
SC,3,635
SC,4,1016
SC,5,1834
SC,6,1380
SC,7,761
SC,8,364
SC,9,123
SC,10,74
SC,11,37
SC,12,42
SD,2,5
SD,3,76
SD,4,468
SD,5,2239
SD,6,4777
SD,7,4566
SD,8,3171
SD,9,777
SD,10,124
SD,11,15
SD,12,1
TN,1,203
TN,2,229
TN,3,910
TN,4,1590
TN,5,1418
TN,6,982
TN,7,459
TN,8,257
TN,9,89
TN,10,132
TN,11,132
TN,12,106
TX,1,695
TX,2,1295
TX,3,5196
TX,4,12394
TX,5,15916
TX,6,8362
TX,7,1349
TX,8,1174
TX,9,1251
TX,10,1909
TX,11,660
TX,12,374
UT,2,1
UT,4,15
UT,5,63
UT,6,96
UT,7,73
UT,8,177
UT,9,98
UT,10,19
VA,1,7
VA,2,90
VA,3,227
VA,4,836
VA,5,1594
VA,6,1538
VA,7,806
VA,8,525
VA,9,213
VA,10,25
VA,11,32
VA,12,7
VI,4,1
VI,10,1
VT,3,1
VT,4,4
VT,5,190
VT,6,180
VT,7,283
VT,8,107
VT,9,18
WA,1,1
WA,3,3
WA,4,17
WA,5,59
WA,6,100
WA,7,125
WA,8,51
WA,9,13
WA,10,4
WA,11,1
WA,12,1
WI,1,6
WI,2,18
WI,3,282
WI,4,1005
WI,5,1552
WI,6,1699
WI,7,1648
WI,8,1153
WI,9,733
WI,10,221
WI,11,27
WI,12,6
WV,1,12
WV,2,25
WV,3,184
WV,4,507
WV,5,608
WV,6,785
WV,7,414
WV,8,201
WV,9,142
WV,10,33
WV,11,9
WV,12,2
WY,3,1
WY,4,58
WY,5,669
WY,6,1666
WY,7,1491
WY,8,679
WY,9,138
WY,10,8
