"st","Wind","Hail","Tornado"
"AK",0,0,0
"AL",368600,0,2595000
"AR",3106500,95000,9394000
"AZ",3099500,20000,515000
"CA",12317000,38100,527000
"CO",202800,13000,70000
"CT",122500,0,25000
"DC",0,0,0
"DE",0,0,0
"FL",1433830,500,12835000
"GA",3660420,2391320,6400000
"IA",2492500,730000,3390000
"ID",164500,150000,1000
"IL",1945000,4100000,341000
"IN",2060900,0,2689000
"KS",2735100,554200,34677000
"KY",3508500,0,5130000
"LA",1668000,46031000,87806000
"MA",4322750,0,4900000
"MD",1622000,0,37000
"ME",0,0,0
"MI",3594000,187000,10045000
"MN",1694000,630000,3946000
"MO",6700000,202000,199197000
"MS",7704900,228000,51112000
"MT",2551000,0,0
"NC",28273600,100125000,8780000
"ND",933000,2174000,1600000
"NE",3844500,5263000,1708000
"NH",0,0,0
"NJ",178000,0,117000
"NM",514500,127500,4570000
"NV",34000,50000,0
"NY",3253500,0,90000
"OH",3896550,56000,584895000
"OK",2173200,762500,10042000
"OR",52000,0,29000
"PA",3497500,30000,2770000
"PR",2500,0,1e+05
"RI",38100,0,5000
"SC",687280,1410,685000
"SD",1683750,8000,18108000
"TN",19327700,1000,1900000
"TX",28928900,10301100,2036807500
"UT",5000,0,0
"VA",2914400,11000,2208000
"VI",0,0,0
"VT",501000,0,0
"WA",76000,10000,150000
"WI",3733000,1055000,5091000
"WV",1287900,1311200,570000
"WY",5000,1007500,22000
