st,mo,Wind
NV,4,18
NV,5,72
NV,6,149
NV,7,363
NV,8,205
NV,9,88
NV,10,16
NV,11,1
NY,1,114
NY,2,84
NY,3,213
NY,4,541
NY,5,2321
NY,6,3465
NY,7,5263
NY,8,3523
NY,9,1224
NY,10,569
NY,11,290
NY,12,97
OH,1,201
OH,2,198
OH,3,515
OH,4,1479
OH,5,2546
OH,6,5312
OH,7,5108
OH,8,2762
OH,9,867
OH,10,450
OH,11,672
OH,12,187
OK,1,99
OK,2,329
OK,3,901
OK,4,1902
OK,5,4311
OK,6,4623
OK,7,3102
OK,8,2492
OK,9,1131
OK,10,795
OK,11,454
OK,12,133
OR,1,11
OR,2,1
OR,3,21
OR,4,32
OR,5,105
OR,6,84
OR,7,90
OR,8,120
OR,9,39
OR,10,11
OR,11,6
OR,12,5
PA,1,132
PA,2,200
PA,3,432
PA,4,1333
PA,5,2575
PA,6,4917
PA,7,5332
PA,8,3624
PA,9,1143
PA,10,437
PA,11,784
PA,12,113
PR,4,1
PR,5,19
PR,6,19
PR,7,16
PR,8,15
PR,9,18
PR,10,8
PR,11,3
PR,12,1
RI,2,15
RI,3,12
RI,4,8
RI,5,21
RI,6,65
RI,7,75
RI,8,80
RI,9,14
RI,10,10
RI,11,17
RI,12,2
SC,1,301
SC,2,308
SC,3,753
SC,4,1383
SC,5,1684
SC,6,3969
SC,7,3762
SC,8,1928
SC,9,550
SC,10,186
SC,11,302
SC,12,159
SD,2,1
SD,3,28
SD,4,193
SD,5,1075
SD,6,3183
SD,7,3933
SD,8,2310
SD,9,398
SD,10,109
SD,12,1
TN,1,617
TN,2,748
TN,3,1245
TN,4,1951
TN,5,2878
TN,6,3691
TN,7,3713
TN,8,1813
TN,9,424
TN,10,522
TN,11,629
TN,12,386
TX,1,535
TX,2,968
TX,3,2217
TX,4,4110
TX,5,7578
TX,6,7156
TX,7,2727
TX,8,3086
TX,9,1587
TX,10,1579
TX,11,851
TX,12,597
UT,1,4
UT,2,8
UT,3,14
