"st","Hail","Tornado","Wind"
"AK",0,0,0
"AL",0,686000,553500
"AR",502000,9960000,10181000
"AZ",1513000,0,5006500
"CA",100100,1100,637200
"CO",618248500,360000,314500
"CT",70000,333000,6298500
"DC",0,0,0
"DE",0,0,0
"FL",8000,2740400,1155160
"GA",13669800,2460000,6243110
"HI",0,0,10000
"IA",689000,320766000,4342200
"ID",29752400,3300,134800
"IL",101000,125693000,4422500
"IN",3e+05,856000,2191750
"KS",478000,13790000,1558800
"KY",10000,11941000,7429600
"LA",69000,15417500,1156500
"MA",0,5085300,402000
"MD",0,915000,42500
"ME",0,0,0
"MI",1019000,2410000,3484500
"MN",72000,9080000,1614500
"MO",54000,6305000,1911000
"MS",319500,8330100,8029600
"MT",20000,0,20000
"NC",15000,72912000,2370150
"ND",2565000,4090000,16518000
"NE",10693000,290000,6496500
"NH",0,0,0
"NJ",0,0,160000
"NM",1721000,3e+05,398500
"NV",5e+06,0,5777000
"NY",40000,670000,2255500
"OH",6000,2360000,2890550
"OK",115000,2645000,1370000
"OR",0,107200,0
"PA",10500,6583000,1755500
"PR",2500,0,2500
"RI",0,1e+06,12700
"SC",6550,65500,398900
"SD",2005000,0,10000
"TN",0,16805000,2525200
"TX",33503850,4637000,10058200
"UT",0,0,10000
"VA",15500,26427000,1327850
"VT",0,0,833000
"WA",0,1180000,155500
"WI",72000,392000,16507400
"WV",0,10000,363500
"WY",11000,70000,75000
