"st","Hail","Tornado","Wind"
"AL",0.332,37.314,7.495
"AR",0.597,1.285,5.222
"AZ",0,0,2.444
"CA",0.11,0.07,0.3
"CO",5,0.821,0.095
"CT",0.001,0.01,0.32
"DC",0,0,1.023
"DE",0,0,0
"FL",0.32,7.919,8.463
"GA",0.007,35.213,10.379
"IA",8.144,4.629,4.549
"ID",0.012,3.47,2.998
"IL",12.37,0.881,5.697
"IN",75,1.74,10.378
"KS",22.629,76.661,4.571
"KY",0.085,122.709,2.857
"LA",65.105,37.654,6.415
"MA",0.01,0,0.29
"MD",0.07,1.042,1.132
"ME",0,0,0.03
"MI",6.205,0.07,12.628
"MN",1.306,21.3,2.993
"MO",2.082,5.983,7.117
"MS",0.496,2.892,5.782
"MT",0.493,0,0.769
"NC",0.6,0.91,1.514
"ND",0,0.16,18.856
"NE",15.02,3.825,5.699
"NH",0,0,0
"NJ",0,0,3.85
"NM",0.005,0,0.14
"NV",0,0,0.042
"NY",0.897,0.37,12.461
"OH",1.355,22.172,16.705
"OK",8.672,2.617,8.826
"OR",0,0.13,0
"PA",0.01,0.01,2.52
"PR",0.005,0.01,0
"RI",0,0,0.02
"SC",30.162,0.522,0.721
"SD",4.293,0.29,21.034
"TN",0.51,2.192,2.635
"TX",63.046,19.065,22.626
"UT",0.01,0.001,0.02
"VA",1.285,0.546,3.238
"VI",0,0,0
"VT",0,0,0.416
"WA",0.002,0.11,0.318
"WI",119.107,7.99,9.824
"WV",0.003,0.491,1.472
"WY",0.82,0.03,0.051
