"st","Hail","Tornado","Wind"
"AK",0,0,0
"AL",1.248,4.765,5.021
"AR",0.01,7.62,1.331
"AZ",0,0.02,1.552
"CA",0.014,2.035,0.588
"CO",0.028,0.041,0.346
"CT",0.005,0,0.235
"DC",0,0,0
"DE",0,0,0
"FL",2.697,9.843,1.72
"GA",30.508,96.072,3.552
"HI",0,0,0.1
"IA",1.36,18.199,3.293
"ID",0,0.13,0.371
"IL",2.162,0.07,2.395
"IN",0.103,98.46,3.452
"KS",4.581,7.604,22.711
"KY",0.039,137.626,1.242
"LA",1.64,6.802,3.133
"MA",0.055,0,0.731
"MD",0,0,0.329
"ME",0,0.251,0
"MI",0.44,0.18,3.488
"MN",1.214,0.34,0.993
"MO",0.085,6.59,2.895
"MS",29.771,534.613,19.513
"MT",1.19,0,5.165
"NC",0.01,2.953,3.127
"ND",100.03,0.26,16.13
"NE",49.794,0.82,2.992
"NH",0.001,0,0.135
"NJ",0,0,0.01
"NM",2.863,0,0.663
"NV",0,0,0.006
"NY",0.096,0.23,4.111
"OH",0.295,0.23,6.093
"OK",65.247,0.411,3.621
"OR",0.001,0,0
"PA",0.015,0.26,2.782
"PR",0,0.01,0
"RI",0,0,0.06
"SC",0.005,2.183,2.067
"SD",0.736,0.05,1.828
"TN",0.039,10.343,8.511
"TX",102.803,2.321,6.918
"UT",0.009,0.01,0.104
"VA",0.004,2.237,0.822
"VT",0.002,0,0.655
"WA",0.053,0.01,0.107
"WI",0.258,44.009,8.728
"WV",0.001,0,0.565
"WY",0.005,5,0.05
