"st","Hail","Wind","Tornado"
"AK",0.015,0,0
"AL",0.133,20.791,311.56
"AR",0.183,2.121,46.769
"AZ",0.05,8.699,0
"CA",0,4.788,0.178
"CO",0.036,0.152,4.1
"CT",0,0.001,0
"DC",0,0.007,0
"DE",0,0,0
"FL",0.011,1.069,230.772
"GA",19.318,9.07,154.582
"IA",2.687,5.118,29.774
"ID",0,0.734,0.001
"IL",0.086,11.074,0.347
"IN",0.051,8.316,16.603
"KS",0.586,8.448,259.912
"KY",0.041,5.994,17.846
"LA",0.09,5.508,10.945
"MA",0,0.306,0
"MD",0,0.312,0.01
"ME",0,0,0
"MI",67.033,6.426,85.719
"MN",35.023,0.308,0.505
"MO",0.12,1.791,2.133
"MS",0.324,7.925,6.995
"MT",11.266,0.592,0.051
"NC",0.122,1.795,0.271
"ND",33.26,17.51,56.005
"NE",8.252,3.981,7.701
"NH",0,0.015,0
"NJ",0,1.155,0
"NM",0.279,0.342,22.555
"NV",0,0.006,0
"NY",0.24,3.032,0.01
"OH",111.424,6.655,2.575
"OK",0.167,4.367,10.476
"OR",0,0.105,0.02
"PA",1.651,5.656,0.71
"PR",0,0,0.035
"RI",0,0,0
"SC",0,13.208,0.44
"SD",2.2,0.321,0.809
"TN",0.056,3.212,4.375
"TX",34.484,20.611,94.957
"UT",0,0.049,0
"VA",0.171,2.672,0.08
"VT",0.055,3.708,0
"WA",0.001,0.001,0
"WI",46.19,38.393,15.8
"WV",0.006,0.749,0.008
"WY",0.1,0.16,0
