"st","Hail","Tornado","Wind"
"AL",0,1848000,1106200
"AR",440000,4716000,2678800
"AZ",1522000,0,1867500
"CA",30110,500,1132600
"CO",68500,213500,286000
"CT",0,15000,856750
"DC",0,0,0
"DE",0,0,6000
"FL",55000,50695000,2486150
"GA",712000,6016000,6756200
"HI",0,0,0
"IA",39000,5379200,7027000
"ID",19000,0,20800
"IL",3221000,3905000,5072000
"IN",10000,10795500,1248200
"KS",279500,4132000,6359250
"KY",1685000,6465000,3780010
"LA",137000,261000,915500
"MA",0,1e+06,3346000
"MD",0,75000,665000
"ME",1e+06,0,0
"MI",265500,5685000,2322500
"MN",79000,1625000,8505000
"MO",4175000,352000,3415500
"MS",404800,7114000,6578900
"MT",1546500,1500000,1458000
"NC",303400,2305000,3561900
"ND",74230000,8e+05,9882000
"NE",2450000,1049000,4860000
"NH",0,0,0
"NJ",0,0,225500
"NM",4687000,0,145500
"NV",5e+07,0,196500
"NY",22000,18000,3940250
"OH",78000,1160500,5494550
"OK",484100,15138000,3275500
"OR",0,1e+06,47000
"PA",13000,8201000,3629500
"PR",5400,10000,9500
"RI",0,0,338500
"SC",7120,550000,1156770
"SD",15000,135000,1053200
"TN",172000,1225000,2464010
"TX",3359648400,16185000,23082500
"UT",27000,2300000,171500
"VA",2000,24482000,2127900
"VT",0,0,766000
"WA",0,20000,4816400
"WI",5000,1555000,5136300
"WV",4835000,133000,626500
"WY",200,1000,4000
