"om","yr","mo","dy","date","time","tz","st","stf","stn","mag","inj","fat","loss","closs","slat","slon","elat","elon","len","wid","ns","sn","sg","f1","f2","f3","f4","fc"
623337,2023,10,11,"2023-10-11","16:40:00",3,"WA",53,0,0,0,0,0,1000,45.8755,-122.6892,45.87,-122.68,0.5,100,1,1,1,11,0,0,0,0
623338,2023,10,11,"2023-10-11","20:59:00",3,"FL",12,0,0,0,0,10000,0,27.2661,-82.3829,27.2686,-82.3822,0.18,50,1,1,1,115,0,0,0,0
623339,2023,10,11,"2023-10-11","22:13:00",3,"FL",12,0,0,0,0,50000,0,28.0319,-82.6725,28.0355,-82.6711,0.26,50,1,1,1,103,0,0,0,0
623340,2023,10,11,"2023-10-11","23:47:00",3,"FL",12,0,2,0,0,5e+05,0,28.003,-82.8285,28.0569,-82.7746,4.97,300,1,1,1,103,0,0,0,0
623341,2023,10,12,"2023-10-12","00:08:00",3,"FL",12,0,2,0,0,350000,0,28.8464,-82.6108,28.9158,-82.563,5.6,300,1,1,1,17,0,0,0,0
623342,2023,10,12,"2023-10-12","00:17:00",3,"FL",12,0,0,0,0,2000,0,28.1865,-82.6175,28.1875,-82.6161,0.11,15,1,1,1,101,0,0,0,0
623343,2023,10,12,"2023-10-12","02:30:00",3,"FL",12,0,0,0,0,0,0,29.4674,-81.3391,29.5336,-81.1534,12.07,25,1,1,1,35,0,0,0,0
623344,2023,10,12,"2023-10-12","02:40:00",3,"FL",12,0,2,0,0,0,0,29.5678,-81.2512,29.576,-81.2337,1,200,1,1,1,35,0,0,0,0
623345,2023,10,12,"2023-10-12","09:34:00",3,"FL",12,0,0,0,0,5000,0,27.9163,-82.8303,27.9164,-82.8234,0.42,15,1,1,1,103,0,0,0,0
623346,2023,10,12,"2023-10-12","13:05:00",3,"NE",31,0,0,0,0,90000,0,40.5706,-99.5794,40.5946,-99.565,1.82,30,1,1,1,137,0,0,0,0
623347,2023,10,12,"2023-10-12","13:20:00",3,"NE",31,0,-9,0,0,0,0,40.69,-99.52,40.69,-99.52,0.01,20,1,1,1,47,0,0,0,0
623348,2023,10,12,"2023-10-12","14:39:00",3,"KS",20,0,-9,0,0,0,0,39.4776,-98.1799,39.4776,-98.1799,0.01,20,1,1,1,123,0,0,0,0
623349,2023,10,12,"2023-10-12","14:43:00",3,"NE",31,0,1,0,0,227000,0,40.3196,-99.0061,40.3968,-98.9432,6.29,75,1,1,1,61,99,0,0,0
