"om","yr","mo","dy","date","time","tz","st","stf","stn","mag","inj","fat","loss","closs","slat","slon","elat","elon","len","wid","ns","sn","sg","f1","f2","f3","f4","fc"
614398,2016,10,12,"2016-10-12","16:26:00",3,"IN",18,0,0,0,0,0,0,41.6421,-86.3046,41.6557,-86.2886,1.25,30,1,1,1,141,0,0,0,0
614399,2016,10,12,"2016-10-12","16:30:00",3,"IN",18,0,0,0,0,0,0,41.6685,-86.2307,41.6689,-86.23,0.05,40,1,1,1,141,0,0,0,0
614400,2016,10,14,"2016-10-14","09:18:00",3,"OR",41,0,2,0,0,1e+06,0,45.72,-123.94,45.72,-123.94,0.7,225,1,1,1,57,0,0,0,0
614401,2016,10,14,"2016-10-14","10:00:00",3,"OR",41,0,-9,0,0,0,0,45.47,-123.97,45.47,-123.97,0.01,10,1,1,1,57,0,0,0,0
614382,2016,10,4,"2016-10-04","16:32:00",3,"KS",20,0,0,0,0,0,0,39.2482,-97.4066,39.2482,-97.4066,0.1,40,1,1,1,143,0,0,0,0
614383,2016,10,4,"2016-10-04","17:27:00",3,"KS",20,0,1,0,0,0,0,39.4411,-97.0346,39.4902,-96.9677,4.92,75,1,1,1,27,0,0,0,0
614384,2016,10,6,"2016-10-06","10:57:00",3,"KS",20,0,0,0,0,0,0,37.0294,-95.2163,37.0306,-95.2126,0.22,50,1,1,1,99,0,0,0,0
614385,2016,10,6,"2016-10-06","11:14:00",3,"KS",20,0,0,0,0,0,0,37.05,-95.18,37.0513,-95.1781,0.14,50,1,1,1,99,0,0,0,0
614386,2016,10,6,"2016-10-06","13:26:00",3,"KS",20,0,0,0,0,0,0,37.1691,-96.9803,37.1694,-96.9799,0.03,50,1,1,1,35,0,0,0,0
614387,2016,10,6,"2016-10-06","13:42:00",3,"KS",20,0,1,0,0,25000,100,37.2268,-96.8084,37.2285,-96.8069,0.14,50,1,1,1,35,0,0,0,0
614388,2016,10,6,"2016-10-06","14:08:00",3,"KS",20,0,1,0,0,20000,0,37.3197,-96.7012,37.327,-96.6996,0.51,75,1,1,1,35,0,0,0,0
614389,2016,10,6,"2016-10-06","15:13:00",3,"KS",20,0,2,0,0,0,0,38.7407,-97.5156,38.7413,-97.5117,0.21,60,1,1,1,169,0,0,0,0
614390,2016,10,6,"2016-10-06","15:18:00",3,"KS",20,0,1,0,0,0,0,39.5423,-97.1833,39.5912,-97.0085,9.97,200,1,1,1,27,201,0,0,0
614391,2016,10,6,"2016-10-06","15:19:00",3,"KS",20,0,3,0,0,0,0,38.7815,-97.4704,38.8596,-97.4039,6.48,140,1,1,1,169,0,0,0,0
614392,2016,10,6,"2016-10-06","15:36:00",3,"KS",20,0,1,0,0,0,0,39.2998,-97.163,39.3237,-97.0472,6.41,300,1,1,1,27,0,0,0,0
614393,2016,10,6,"2016-10-06","21:07:00",3,"IA",19,0,1,0,0,0,0,41.4677,-91.097,41.552,-90.9515,9.52,30,1,1,1,139,0,0,0,0
614394,2016,10,6,"2016-10-06","21:36:00",3,"IA",19,0,1,0,0,0,0,41.5049,-90.6173,41.679,-90.3076,20.02,800,2,0,1,0,0,0,0,0
614394,2016,10,6,"2016-10-06","21:36:00",3,"IA",19,0,1,0,0,0,0,41.5049,-90.6173,41.6625,-90.3373,18.11,800,2,1,2,163,0,0,0,0
614395,2016,10,6,"2016-10-06","21:41:00",3,"IL",17,0,0,0,0,0,0,41.3796,-90.5125,41.4148,-90.4314,4.86,10,1,1,1,161,0,0,0,0
614394,2016,10,6,"2016-10-06","21:57:00",3,"IL",17,0,1,0,0,0,0,41.6625,-90.3373,41.679,-90.3076,1.91,200,2,1,2,161,0,0,0,0
614396,2016,10,8,"2016-10-08","04:46:00",3,"SC",45,0,0,0,0,0,0,33.8243,-78.651,33.8402,-78.6694,1.53,25,1,1,1,51,0,0,0,0
614397,2016,10,8,"2016-10-08","12:50:00",3,"NC",37,0,0,0,0,75000,25000,35.323,-77.8625,35.329,-77.8773,0.93,250,1,1,1,191,0,0,0,0
614402,2016,11,18,"2016-11-18","13:10:00",3,"PR",72,0,0,0,0,10000,0,18.43,-66.4825,18.4323,-66.4916,0.62,1091,1,1,1,91,0,0,0,0
614403,2016,11,22,"2016-11-22","15:51:00",3,"KS",20,0,0,0,0,0,0,39.1999,-96.8252,39.1999,-96.8252,0.3,25,1,1,1,161,0,0,0,0
614404,2016,11,27,"2016-11-27","16:02:00",3,"NE",31,0,0,0,0,0,0,40.3,-98.95,40.3,-98.94,0.53,20,1,1,1,61,0,0,0,0
614405,2016,11,27,"2016-11-27","16:32:00",3,"NE",31,0,1,0,0,150000,0,40.09,-98.47,40.12,-98.41,3.79,60,1,1,1,181,0,0,0,0
614406,2016,11,27,"2016-11-27","17:00:00",3,"NE",31,0,0,0,0,3000,0,40.27,-98.15,40.31,-98.09,4.2,50,1,1,1,129,0,0,0,0
614407,2016,11,28,"2016-11-28","12:44:00",3,"IA",19,0,0,0,0,5000,0,42.317,-93.4274,42.38,-93.3709,5.22,50,1,1,1,83,0,0,0,0
614408,2016,11,28,"2016-11-28","15:38:00",3,"IA",19,0,0,0,0,3000,0,42.5248,-92.8034,42.5953,-92.7465,5.68,50,1,1,1,75,23,0,0,0
614409,2016,11,28,"2016-11-28","15:41:00",3,"IA",19,0,0,0,0,0,0,42.3463,-92.834,42.3584,-92.8103,1.47,25,1,1,1,75,0,0,0,0
614410,2016,11,28,"2016-11-28","16:11:00",3,"IA",19,0,0,0,0,0,0,41.4947,-92.6257,41.5366,-92.5581,4.54,40,1,1,1,123,157,0,0,0
614411,2016,11,28,"2016-11-28","16:25:00",3,"LA",22,0,0,0,0,0,0,31.073,-92.0329,31.073,-92.0329,0.01,10,1,1,1,9,0,0,0,0
614412,2016,11,28,"2016-11-28","16:30:00",3,"IA",19,0,0,0,0,0,0,41.5648,-92.5098,41.5751,-92.4919,1.17,30,1,1,1,157,0,0,0,0
614413,2016,11,29,"2016-11-29","15:57:00",3,"MS",28,0,1,0,0,2e+05,0,32.402,-89.7807,32.5885,-89.437,23.95,300,1,1,1,121,123,79,0,0
614414,2016,11,29,"2016-11-29","17:49:00",3,"MS",28,0,1,0,0,180000,0,32.95,-88.84,33.0044,-88.7703,5.53,170,1,1,1,159,103,0,0,0
614415,2016,11,29,"2016-11-29","17:52:00",3,"MS",28,0,1,0,0,45000,0,33.3,-88.76,33.3503,-88.7443,3.59,150,1,1,1,105,0,0,0,0
614416,2016,11,29,"2016-11-29","18:12:00",3,"MS",28,0,1,0,0,220000,0,33.7,-88.76,33.758,-88.624,8.9,200,1,1,1,25,95,0,0,0
614417,2016,11,29,"2016-11-29","19:05:00",3,"AL",1,0,2,3,0,0,0,34.5415,-87.9038,34.6274,-87.7439,10.87,100,1,1,1,59,33,0,0,0
614418,2016,11,29,"2016-11-29","19:15:00",3,"AL",1,0,1,0,0,0,0,33.4521,-88.1502,33.4959,-88.0771,5.3,600,1,1,1,107,0,0,0,0
