"om","yr","mo","dy","date","time","tz","st","stf","stn","mag","inj","fat","loss","closs","slat","slon","elat","elon","len","wid","ns","sn","sg","f1","f2","f3","f4","fc"
618411,2019,10,16,"2019-10-16","01:42:00",3,"LA",22,0,1,0,0,5e+05,0,30.3095,-93.0709,30.2866,-93.0333,2.74,100,1,1,1,19,0,0,0,0
618412,2019,10,18,"2019-10-18","19:29:00",3,"FL",12,0,0,0,0,1e+05,0,27.8397,-82.7913,27.8443,-82.7891,0.34,30,1,1,1,103,0,0,0,0
618413,2019,10,18,"2019-10-18","20:02:00",3,"WA",53,0,1,0,0,150000,0,47.2696,-122.9422,47.2725,-122.929,0.68,90,1,1,1,45,0,0,0,0
618414,2019,10,18,"2019-10-18","20:59:00",3,"FL",12,0,2,0,0,1e+07,0,27.982,-82.0475,28.1457,-82.0185,11.45,525,1,1,1,105,0,0,0,0
618415,2019,10,19,"2019-10-19","04:45:00",3,"FL",12,0,1,0,0,6e+05,0,26.6796,-82.0255,26.6945,-82.0309,1.08,100,1,1,1,71,0,0,0,0
618416,2019,10,19,"2019-10-19","12:50:00",3,"FL",12,0,0,0,0,0,0,27.65,-80.57,27.65,-80.57,0.05,10,1,1,1,9,0,0,0,0
618417,2019,10,19,"2019-10-19","16:58:00",3,"GA",13,0,0,0,0,15000,0,31.9852,-83.7954,32.0101,-83.7793,1.96,100,1,1,1,81,0,0,0,0
618418,2019,10,19,"2019-10-19","23:52:00",3,"SC",45,0,0,0,0,25000,0,33.681,-78.8975,33.6924,-78.9038,0.87,25,1,1,1,51,0,0,0,0
618419,2019,10,20,"2019-10-20","18:36:00",3,"TX",48,0,0,0,0,5000,0,32.147,-94.5443,32.1477,-94.5307,0.8,150,1,1,1,365,0,0,0,0
618420,2019,10,20,"2019-10-20","19:42:00",3,"LA",22,0,1,0,0,75000,0,32.3738,-93.976,32.3998,-93.9227,3.59,350,1,1,1,17,0,0,0,0
618421,2019,10,20,"2019-10-20","19:58:00",3,"TX",48,0,3,0,0,1.55e+09,0,32.8685,-96.9149,32.9569,-96.6833,15.76,1300,1,1,1,113,0,0,0,0
618422,2019,10,20,"2019-10-20","20:10:00",3,"TX",48,0,1,0,0,1e+07,0,32.4981,-96.9935,32.493,-96.9454,2.83,350,1,1,1,139,0,0,0,0
618423,2019,10,20,"2019-10-20","20:24:00",3,"TX",48,0,2,0,0,4e+08,0,32.8974,-96.6753,32.9099,-96.6377,2.48,265,1,1,1,113,0,0,0,0
618424,2019,10,20,"2019-10-20","20:36:00",3,"TX",48,0,1,0,0,10010000,0,32.9237,-96.5697,32.9802,-96.4974,5.77,500,1,1,1,113,397,0,0,0
618425,2019,10,20,"2019-10-20","20:42:00",3,"TX",48,0,0,0,0,1e+06,0,32.5332,-96.6664,32.5324,-96.6635,0.18,170,1,1,1,139,0,0,0,0
