"om","yr","mo","dy","date","time","tz","st","stf","stn","mag","inj","fat","loss","closs","slat","slon","elat","elon","len","wid","ns","sn","sg","f1","f2","f3","f4","fc"
621927,2022,10,12,"2022-10-12","10:13:00",3,"WI",55,0,0,0,0,0,0,43.1746,-88.8006,43.1719,-88.7919,0.48,25,1,1,1,55,0,0,0,0
621928,2022,10,12,"2022-10-12","10:18:00",3,"WI",55,0,0,0,0,0,0,43.0757,-88.8178,43.074,-88.8093,0.44,25,1,1,1,55,0,0,0,0
621929,2022,10,12,"2022-10-12","10:42:00",3,"WI",55,0,0,0,0,0,0,42.9654,-88.5854,42.96,-88.5717,0.79,25,1,1,1,55,0,0,0,0
621930,2022,10,12,"2022-10-12","10:48:00",3,"WI",55,0,0,0,0,0,0,43.1017,-88.3812,43.1011,-88.3691,0.61,50,1,1,1,133,0,0,0,0
621931,2022,10,12,"2022-10-12","11:17:00",3,"WI",55,0,0,0,0,0,0,42.5956,-88.377,42.5741,-88.3391,2.43,40,1,1,1,127,0,0,0,0
621932,2022,10,12,"2022-10-12","11:17:00",3,"WI",55,0,0,0,0,0,0,43.0062,-88.0434,42.991,-87.9863,3.07,40,1,1,1,79,0,0,0,0
621933,2022,10,12,"2022-10-12","11:20:00",3,"WI",55,0,0,0,0,0,0,42.6596,-88.2872,42.6358,-88.216,3.97,25,1,1,1,101,0,0,0,0
621934,2022,10,12,"2022-10-12","19:55:00",3,"GA",13,0,0,0,0,0,0,31.9825,-82.8483,31.9854,-82.8428,0.38,100,1,1,1,271,0,0,0,0
621935,2022,10,13,"2022-10-13","14:23:00",3,"TX",48,0,-9,0,0,0,0,27.59,-97.47,27.5916,-97.4675,0.19,20,1,1,1,355,0,0,0,0
621936,2022,10,16,"2022-10-16","16:00:00",3,"AZ",4,0,0,0,0,0,0,33.1997,-111.8819,33.1983,-111.8865,0.28,25,1,1,1,21,0,0,0,0
621937,2022,10,17,"2022-10-17","16:41:00",3,"FL",12,0,0,0,0,142240,0,27.57,-80.37,27.56,-80.36,0.5,100,1,1,1,61,0,0,0,0
621938,2022,10,22,"2022-10-22","18:40:00",3,"OR",41,0,0,0,0,50000,0,45.3753,-122.1413,45.3723,-122.1371,0.87,248,1,1,1,5,0,0,0,0
621939,2022,10,24,"2022-10-24","08:27:00",3,"OK",40,0,0,0,0,5000,0,35.391,-97.841,35.399,-97.791,2.9,50,1,1,1,17,0,0,0,0
621940,2022,10,24,"2022-10-24","09:32:00",3,"OK",40,0,0,0,0,0,0,35.144,-96.933,35.144,-96.933,0.1,10,1,1,1,125,0,0,0,0
621941,2022,10,24,"2022-10-24","17:30:00",3,"OR",41,0,0,0,0,25000,0,45.1607,-122.9069,45.1607,-122.9055,0.04,17,1,1,1,47,0,0,0,0
621942,2022,10,24,"2022-10-24","19:46:00",3,"TX",48,0,1,0,0,5e+05,0,30.797,-97.6742,30.7883,-97.61,3.86,150,1,1,1,491,0,0,0,0
621943,2022,10,25,"2022-10-25","03:39:00",3,"LA",22,0,2,0,0,150000,0,30.652,-92.8043,30.6557,-92.7982,0.44,170,1,1,1,3,0,0,0,0
621944,2022,10,25,"2022-10-25","22:14:00",3,"FL",12,0,0,0,0,20000,0,30.7768,-85.7261,30.7776,-85.7072,1.12,70,1,1,1,59,0,0,0,0
621945,2022,10,29,"2022-10-29","11:35:00",3,"FL",12,0,0,0,0,0,0,30.393,-86.5927,30.3943,-86.5926,0.08,20,1,1,1,91,0,0,0,0
621946,2022,10,29,"2022-10-29","13:20:00",3,"MS",28,0,1,0,0,0,0,30.4074,-88.5116,30.4467,-88.5223,2.79,250,1,1,1,59,0,0,0,0
621947,2022,10,29,"2022-10-29","13:28:00",3,"MS",28,0,1,0,0,5000,0,30.5976,-88.6424,30.6116,-88.6535,1.25,150,1,1,1,59,0,0,0,0
621948,2022,10,29,"2022-10-29","15:27:00",3,"MS",28,0,1,0,0,10000,0,30.617,-88.4942,30.6323,-88.4962,1.06,50,1,1,1,59,0,0,0,0
