"om","yr","mo","dy","date","time","tz","st","stf","stn","mag","inj","fat","loss","closs","slat","slon","elat","elon","len","wid","ns","sn","sg","f1","f2","f3","f4"
640726,2018,10,12,"2018-10-12","20:42:00",3,"TX",48,0,1,0,0,0,0,30.18,-102.8194,30.18,-102.8194,0,0,0,0,0,43,0,0,0
640727,2018,10,12,"2018-10-12","22:30:00",3,"TX",48,0,1.75,0,0,0,0,30.8833,-102.4488,30.8833,-102.4488,0,0,0,0,0,371,0,0,0
640728,2018,10,13,"2018-10-13","00:00:00",3,"CA",6,0,1,0,0,0,0,33.7205,-116.2173,33.7205,-116.2173,0,0,0,0,0,65,0,0,0
640729,2018,10,13,"2018-10-13","00:10:00",3,"CA",6,0,1,0,0,0,0,34.13,-116.32,34.13,-116.32,0,0,0,0,0,71,0,0,0
640730,2018,10,13,"2018-10-13","14:10:00",3,"TX",48,0,1.5,0,0,5000,0,32.1614,-95.7634,32.1614,-95.7634,0,0,0,0,0,213,0,0,0
640731,2018,10,13,"2018-10-13","14:40:00",3,"TX",48,0,1,0,0,0,0,32.148,-95.4051,32.148,-95.4051,0,0,0,0,0,423,0,0,0
640732,2018,10,14,"2018-10-14","15:00:00",3,"TX",48,0,2,0,0,0,0,31.85,-100.03,31.85,-100.03,0,0,0,0,0,399,0,0,0
640733,2018,10,14,"2018-10-14","15:19:00",3,"TX",48,0,2.75,0,0,0,0,31.85,-99.95,31.85,-99.95,0,0,0,0,0,399,0,0,0
640734,2018,10,14,"2018-10-14","16:00:00",3,"TX",48,0,1,0,0,0,0,32.01,-99.61,32.01,-99.61,0,0,0,0,0,83,0,0,0
640735,2018,10,14,"2018-10-14","18:00:00",3,"TX",48,0,1,0,0,0,0,32.08,-98.33,32.08,-98.33,0,0,0,0,0,143,0,0,0
640736,2018,10,14,"2018-10-14","19:17:00",3,"TX",48,0,1,0,0,4000,0,32.1883,-97.1393,32.1883,-97.1393,0,0,0,0,0,217,0,0,0
640737,2018,10,14,"2018-10-14","20:00:00",3,"TX",48,0,0.75,0,0,0,0,32.5363,-95.6251,32.5363,-95.6251,0,0,0,0,0,467,0,0,0
640738,2018,10,21,"2018-10-21","02:05:00",3,"NV",32,0,0.88,0,0,0,0,35.4898,-114.69,35.4898,-114.69,0,0,0,0,0,3,0,0,0
640739,2018,10,21,"2018-10-21","03:30:00",3,"AZ",4,0,0.88,0,0,0,0,35.417,-114.0399,35.417,-114.0399,0,0,0,0,0,15,0,0,0
640740,2018,10,21,"2018-10-21","05:20:00",3,"AZ",4,0,0.75,0,0,0,0,33.73,-112.27,33.73,-112.27,0,0,0,0,0,13,0,0,0
640741,2018,10,21,"2018-10-21","15:43:00",3,"AZ",4,0,1.5,0,0,0,0,32.0263,-111.2729,31.9688,-110.9713,0,0,0,0,0,19,0,0,0
640742,2018,10,21,"2018-10-21","16:00:00",3,"AZ",4,0,1.75,0,0,0,0,31.6761,-110.6528,31.6761,-110.6528,0,0,0,0,0,23,0,0,0
640743,2018,10,21,"2018-10-21","16:55:00",3,"AZ",4,0,1.25,0,0,0,0,31.66,-110.52,31.66,-110.52,0,0,0,0,0,23,0,0,0
640744,2018,10,21,"2018-10-21","17:28:00",3,"AZ",4,0,1.75,1,0,5000,0,32.99,-111.5,32.99,-111.5,0,0,0,0,0,21,0,0,0
640745,2018,10,21,"2018-10-21","17:40:00",3,"AZ",4,0,1,0,0,0,0,33.04,-111.38,33.04,-111.38,0,0,0,0,0,21,0,0,0
640746,2018,10,21,"2018-10-21","17:52:00",3,"AZ",4,0,1,0,0,0,0,33.06,-111.46,33.06,-111.46,0,0,0,0,0,21,0,0,0
640747,2018,10,21,"2018-10-21","17:52:00",3,"AZ",4,0,1,0,0,0,0,33.15,-111.45,33.15,-111.45,0,0,0,0,0,21,0,0,0
640748,2018,10,21,"2018-10-21","18:16:00",3,"AZ",4,0,0.88,0,0,0,0,33.36,-111.47,33.36,-111.47,0,0,0,0,0,21,0,0,0
640749,2018,10,21,"2018-10-21","18:20:00",3,"AZ",4,0,1.5,0,0,0,0,33.38,-111.42,33.38,-111.42,0,0,0,0,0,21,0,0,0
640750,2018,10,21,"2018-10-21","20:22:00",3,"AZ",4,0,1,0,0,0,0,33.22,-111.92,33.22,-111.92,0,0,0,0,0,13,0,0,0
640751,2018,10,21,"2018-10-21","20:44:00",3,"AZ",4,0,1,0,0,0,0,33.33,-111.91,33.33,-111.91,0,0,0,0,0,13,0,0,0
640752,2018,10,23,"2018-10-23","12:00:00",3,"AZ",4,0,1,0,0,0,0,31.57,-111.05,31.57,-111.05,0,0,0,0,0,23,0,0,0
640753,2018,10,23,"2018-10-23","13:35:00",3,"AZ",4,0,1.5,0,0,0,0,32.07,-111.27,32.07,-111.27,0,0,0,0,0,19,0,0,0
640754,2018,10,23,"2018-10-23","14:30:00",3,"AZ",4,0,1,0,0,0,0,33.42,-111.55,33.42,-111.55,0,0,0,0,0,21,0,0,0
640755,2018,10,23,"2018-10-23","14:30:00",3,"MA",25,0,0.75,0,0,0,0,42.4788,-72.0089,42.4788,-72.0089,0,0,0,0,0,27,0,0,0
640756,2018,10,23,"2018-10-23","14:43:00",3,"CT",9,0,0.8,0,0,0,0,41.99,-72.16,41.99,-72.16,0,0,0,0,0,13,0,0,0
640757,2018,10,23,"2018-10-23","14:50:00",3,"AZ",4,0,0.75,0,0,0,0,33.25,-111.53,33.25,-111.53,0,0,0,0,0,21,0,0,0
640758,2018,10,23,"2018-10-23","16:30:00",3,"AZ",4,0,1.25,0,0,0,0,33.72,-111.87,33.72,-111.87,0,0,0,0,0,13,0,0,0
640759,2018,10,23,"2018-10-23","17:24:00",3,"AZ",4,0,1,0,0,0,0,33.54,-112.19,33.54,-112.19,0,0,0,0,0,13,0,0,0
640760,2018,10,23,"2018-10-23","17:30:00",3,"AZ",4,0,1,0,0,0,0,33.57,-112.21,33.57,-112.21,0,0,0,0,0,13,0,0,0
640761,2018,10,23,"2018-10-23","17:50:00",3,"AZ",4,0,1,0,0,0,0,33.76,-112.32,33.76,-112.32,0,0,0,0,0,13,0,0,0
640762,2018,10,28,"2018-10-28","15:00:00",3,"OH",39,0,1,0,0,1000,0,41.08,-81.52,41.08,-81.52,0,0,0,0,0,153,0,0,0
640763,2018,10,28,"2018-10-28","16:34:00",3,"OH",39,0,1,0,0,0,0,39.17,-82.14,39.17,-82.14,0,0,0,0,0,105,0,0,0
640764,2018,10,28,"2018-10-28","16:49:00",3,"OH",39,0,1,0,0,0,0,39.14,-81.95,39.14,-81.95,0,0,0,0,0,105,0,0,0
640765,2018,10,28,"2018-10-28","16:54:00",3,"OH",39,0,0.75,0,0,0,0,38.84,-82.23,38.84,-82.23,0,0,0,0,0,53,0,0,0
640766,2018,10,28,"2018-10-28","16:55:00",3,"OH",39,0,1,0,0,0,0,38.84,-82.15,38.84,-82.15,0,0,0,0,0,53,0,0,0
640767,2018,10,28,"2018-10-28","17:00:00",3,"OH",39,0,1,0,0,0,0,39.12,-81.75,39.12,-81.75,0,0,0,0,0,105,0,0,0
640768,2018,10,28,"2018-10-28","17:22:00",3,"WV",54,0,1,0,0,0,0,38.82,-81.71,38.82,-81.71,0,0,0,0,0,35,0,0,0
640769,2018,10,28,"2018-10-28","17:38:00",3,"WV",54,0,1,0,0,0,0,38.65,-81.58,38.65,-81.58,0,0,0,0,0,35,0,0,0
640663,2018,10,2,"2018-10-02","13:00:00",3,"PA",42,0,1,0,0,0,0,41.76,-80.08,41.76,-80.08,0,0,0,0,0,39,0,0,0
640664,2018,10,2,"2018-10-02","13:02:00",3,"PA",42,0,1.75,0,0,0,0,41.78,-80.07,41.78,-80.07,0,0,0,0,0,39,0,0,0
