"om","yr","mo","dy","date","time","tz","st","stf","stn","mag","inj","fat","loss","closs","slat","slon","elat","elon","len","wid","ns","sn","sg","f1","f2","f3","f4"
657398,2020,10,10,"2020-10-10","15:38:00",3,"NY",36,0,1.75,0,0,10000,0,44.22,-73.6,44.22,-73.6,0,0,0,0,0,31,0,0,0
657399,2020,10,10,"2020-10-10","17:25:00",3,"NH",33,0,1.25,0,0,0,0,44.39,-71.15,44.39,-71.15,0,0,0,0,0,7,0,0,0
657400,2020,10,10,"2020-10-10","17:40:00",3,"NH",33,0,1,0,0,0,0,44.4,-71.22,44.4,-71.22,0,0,0,0,0,7,0,0,0
657401,2020,10,10,"2020-10-10","17:45:00",3,"ME",23,0,1,0,0,0,0,44.47,-70.9,44.47,-70.9,0,0,0,0,0,17,0,0,0
657402,2020,10,10,"2020-10-10","17:55:00",3,"ME",23,0,1,0,0,0,0,44.41,-70.79,44.41,-70.79,0,0,0,0,0,17,0,0,0
657403,2020,10,10,"2020-10-10","18:12:00",3,"ME",23,0,1,0,0,0,0,44.52,-70.41,44.52,-70.41,0,0,0,0,0,17,0,0,0
657404,2020,10,11,"2020-10-11","15:32:00",3,"SD",46,0,1,0,0,0,0,43.06,-96.94,43.06,-96.94,0,0,0,0,0,27,0,0,0
657405,2020,10,11,"2020-10-11","16:07:00",3,"SD",46,0,1.5,0,0,0,5000,42.94,-96.77,42.94,-96.77,0,0,0,0,0,127,0,0,0
657406,2020,10,11,"2020-10-11","16:27:00",3,"NE",31,0,1.3,0,0,0,0,41.9,-97.41,41.9,-97.41,0,0,0,0,0,119,0,0,0
657407,2020,10,11,"2020-10-11","16:35:00",3,"NE",31,0,2.75,0,0,0,0,41.85,-97.44,41.85,-97.44,0,0,0,0,0,119,0,0,0
657408,2020,10,11,"2020-10-11","16:40:00",3,"MN",27,0,1,0,0,0,0,45.3,-96.43,45.3,-96.43,0,0,0,0,0,11,0,0,0
657409,2020,10,11,"2020-10-11","16:43:00",3,"SD",46,0,1.75,0,0,0,0,43.11,-96.53,43.11,-96.53,0,0,0,0,0,83,0,0,0
657410,2020,10,11,"2020-10-11","16:45:00",3,"MN",27,0,1.25,0,0,0,0,45.3,-96.42,45.3,-96.42,0,0,0,0,0,11,0,0,0
657411,2020,10,11,"2020-10-11","16:45:00",3,"SD",46,0,1,0,0,0,0,45.01,-96.57,45.01,-96.57,0,0,0,0,0,51,0,0,0
657412,2020,10,11,"2020-10-11","16:59:00",3,"NE",31,0,1.25,0,0,0,0,41.68,-97.47,41.68,-97.47,0,0,0,0,0,141,0,0,0
657413,2020,10,11,"2020-10-11","17:00:00",3,"IA",19,0,0.75,0,0,0,0,43.2983,-96.2242,43.2983,-96.2242,0,0,0,0,0,119,0,0,0
657414,2020,10,11,"2020-10-11","17:12:00",3,"NE",31,0,0.75,0,0,0,0,42.41,-96.84,42.41,-96.84,0,0,0,0,0,51,0,0,0
657415,2020,10,11,"2020-10-11","17:17:00",3,"NE",31,0,1.25,0,0,0,0,41.66,-97.37,41.66,-97.37,0,0,0,0,0,141,0,0,0
657416,2020,10,11,"2020-10-11","17:40:00",3,"NE",31,0,1.75,0,0,0,0,41.7,-97.25,41.7,-97.25,0,0,0,0,0,37,0,0,0
657417,2020,10,11,"2020-10-11","17:45:00",3,"NE",31,0,1.75,0,0,0,0,41.7,-97.24,41.7,-97.24,0,0,0,0,0,37,0,0,0
657418,2020,10,11,"2020-10-11","18:14:00",3,"MN",27,0,1,0,0,0,1000,43.61,-95.64,43.61,-95.64,0,0,0,0,0,105,0,0,0
657419,2020,10,11,"2020-10-11","18:39:00",3,"NE",31,0,1.25,0,0,0,0,41.72,-96.88,41.72,-96.88,0,0,0,0,0,53,0,0,0
657420,2020,10,11,"2020-10-11","18:43:00",3,"NE",31,0,1,0,0,0,0,41.84,-96.71,41.84,-96.71,0,0,0,0,0,39,0,0,0
657421,2020,10,11,"2020-10-11","18:57:00",3,"NE",31,0,1.5,0,0,0,0,41.75,-96.76,41.75,-96.76,0,0,0,0,0,39,0,0,0
657422,2020,10,11,"2020-10-11","19:19:00",3,"NE",31,0,1,0,0,0,0,40.62,-98.1,40.62,-98.1,0,0,0,0,0,35,0,0,0
657423,2020,10,11,"2020-10-11","23:59:00",3,"MN",27,0,0.75,0,0,0,0,46.74,-92.17,46.74,-92.17,0,0,0,0,0,137,0,0,0
657424,2020,10,12,"2020-10-12","08:05:00",3,"WI",55,0,0.88,0,0,0,0,43.72,-89.47,43.72,-89.47,0,0,0,0,0,77,0,0,0
657425,2020,10,12,"2020-10-12","09:16:00",3,"WI",55,0,0.75,0,0,0,0,43.42,-89.2,43.42,-89.2,0,0,0,0,0,21,0,0,0
657426,2020,10,12,"2020-10-12","10:11:00",3,"WI",55,0,0.75,0,0,0,0,43.32,-88.38,43.32,-88.38,0,0,0,0,0,131,0,0,0
657427,2020,10,12,"2020-10-12","10:28:00",3,"WI",55,0,0.75,0,0,0,0,43.42,-88.34,43.42,-88.34,0,0,0,0,0,131,0,0,0
657428,2020,10,12,"2020-10-12","13:25:00",3,"IN",18,0,1,0,0,0,0,41.37,-87.45,41.37,-87.45,0,0,0,0,0,89,0,0,0
657429,2020,10,12,"2020-10-12","13:44:00",3,"IN",18,0,1,0,0,0,0,41.58,-87.2,41.58,-87.2,0,0,0,0,0,127,0,0,0
657430,2020,10,12,"2020-10-12","13:45:00",3,"IN",18,0,1,0,0,0,0,41.6187,-87.1266,41.6187,-87.1266,0,0,0,0,0,127,0,0,0
657431,2020,10,13,"2020-10-13","16:34:00",3,"MI",26,0,0.88,0,0,0,0,44.67,-85.68,44.67,-85.68,0,0,0,0,0,55,0,0,0
657432,2020,10,13,"2020-10-13","16:40:00",3,"MI",26,0,0.88,0,0,0,0,46.24,-84.36,46.24,-84.36,0,0,0,0,0,33,0,0,0
657433,2020,10,13,"2020-10-13","16:55:00",3,"MI",26,0,0.88,0,0,0,0,46.26,-84.47,46.26,-84.47,0,0,0,0,0,33,0,0,0
657434,2020,10,22,"2020-10-22","15:11:00",3,"WI",55,0,1,0,0,0,0,44.51,-89.56,44.51,-89.56,0,0,0,0,0,97,0,0,0
657435,2020,10,22,"2020-10-22","17:08:00",3,"IA",19,0,1,0,0,0,0,42.33,-92.48,42.33,-92.48,0,0,0,0,0,13,0,0,0
657436,2020,10,22,"2020-10-22","17:11:00",3,"IA",19,0,1,0,0,0,0,42.38,-92.45,42.38,-92.45,0,0,0,0,0,13,0,0,0
657437,2020,10,22,"2020-10-22","17:20:00",3,"IA",19,0,0.88,0,0,0,0,41.89,-93.4,41.89,-93.4,0,0,0,0,0,169,0,0,0
657438,2020,10,23,"2020-10-23","11:08:00",3,"MI",26,0,1,0,0,0,0,43.31,-84.14,43.31,-84.14,0,0,0,0,0,145,0,0,0
657439,2020,10,23,"2020-10-23","12:47:00",3,"MI",26,0,1,0,0,0,0,42.04,-83.68,42.04,-83.68,0,0,0,0,0,115,0,0,0
657440,2020,10,23,"2020-10-23","13:25:00",3,"IN",18,0,0.88,0,0,0,0,39.668,-86.3706,39.668,-86.3706,0,0,0,0,0,63,0,0,0
657441,2020,10,23,"2020-10-23","13:30:00",3,"OH",39,0,0.75,0,0,0,0,39.93,-82.77,39.93,-82.77,0,0,0,0,0,45,0,0,0
657442,2020,10,23,"2020-10-23","13:38:00",3,"OH",39,0,1,0,0,0,0,41.384,-82.5137,41.384,-82.5137,0,0,0,0,0,43,0,0,0
657443,2020,10,23,"2020-10-23","13:54:00",3,"IN",18,0,1,0,0,0,0,39.79,-85.81,39.79,-85.81,0,0,0,0,0,59,0,0,0
657444,2020,10,23,"2020-10-23","14:20:00",3,"AR",5,0,0.75,0,0,0,0,34.61,-92.49,34.61,-92.49,0,0,0,0,0,125,0,0,0
657445,2020,10,23,"2020-10-23","14:25:00",3,"OH",39,0,0.75,0,0,0,0,40.32,-82.79,40.32,-82.79,0,0,0,0,0,41,0,0,0
657446,2020,10,23,"2020-10-23","14:26:00",3,"OH",39,0,0.88,0,0,0,0,41.6367,-83.516,41.6714,-83.4661,0,0,0,0,0,95,0,0,0
