"om","yr","mo","dy","date","time","tz","st","stf","stn","mag","inj","fat","loss","closs","slat","slon","elat","elon","len","wid","ns","sn","sg","f1","f2","f3","f4"
649684,2019,10,15,"2019-10-15","10:56:00",3,"WI",55,0,0.75,0,0,0,0,44.69,-89.55,44.69,-89.55,0,0,0,0,0,73,0,0,0
649685,2019,10,15,"2019-10-15","13:05:00",3,"MO",29,0,0.88,0,0,0,0,38.32,-94.44,38.32,-94.44,0,0,0,0,0,13,0,0,0
649686,2019,10,15,"2019-10-15","17:16:00",3,"TX",48,0,1,0,0,0,0,30.57,-97.86,30.57,-97.86,0,0,0,0,0,491,0,0,0
649687,2019,10,15,"2019-10-15","17:33:00",3,"TX",48,0,0.75,0,0,0,0,30.54,-97.8,30.54,-97.8,0,0,0,0,0,491,0,0,0
649688,2019,10,15,"2019-10-15","17:40:00",3,"TX",48,0,1.75,0,0,0,0,30.65,-97.68,30.65,-97.68,0,0,0,0,0,491,0,0,0
649689,2019,10,15,"2019-10-15","17:41:00",3,"TX",48,0,1,0,0,0,0,30.62,-97.64,30.62,-97.64,0,0,0,0,0,491,0,0,0
649690,2019,10,15,"2019-10-15","17:53:00",3,"MO",29,0,1,0,0,0,0,36.99,-91.57,36.99,-91.57,0,0,0,0,0,203,0,0,0
649691,2019,10,20,"2019-10-20","17:38:00",3,"TX",48,0,1,0,0,0,0,32.0531,-94.9241,32.0531,-94.9241,0,0,0,0,0,401,0,0,0
649692,2019,10,20,"2019-10-20","17:54:00",3,"TX",48,0,0.75,0,0,0,0,32.14,-94.8,32.14,-94.8,0,0,0,0,0,401,0,0,0
649693,2019,10,20,"2019-10-20","18:10:00",3,"TX",48,0,1.75,0,0,10000,0,32.98,-97.85,32.98,-97.85,0,0,0,0,0,367,0,0,0
649694,2019,10,20,"2019-10-20","18:12:00",3,"TX",48,0,1.5,0,0,1000,0,32.97,-97.68,32.97,-97.68,0,0,0,0,0,367,0,0,0
649695,2019,10,20,"2019-10-20","18:18:00",3,"TX",48,0,2,0,0,50000,0,32.97,-97.68,32.97,-97.68,0,0,0,0,0,367,0,0,0
649696,2019,10,20,"2019-10-20","18:23:00",3,"TX",48,0,1.5,0,0,500,0,33.08,-97.58,33.08,-97.58,0,0,0,0,0,497,0,0,0
649697,2019,10,20,"2019-10-20","18:30:00",3,"TX",48,0,1.75,0,0,10000,0,32.97,-97.68,32.97,-97.68,0,0,0,0,0,367,0,0,0
649698,2019,10,20,"2019-10-20","18:30:00",3,"TX",48,0,1.75,0,0,10000,0,33.15,-97.65,33.15,-97.65,0,0,0,0,0,497,0,0,0
649699,2019,10,20,"2019-10-20","18:39:00",3,"TX",48,0,1,0,0,0,0,32.45,-97.8,32.45,-97.8,0,0,0,0,0,221,0,0,0
649700,2019,10,20,"2019-10-20","18:40:00",3,"TX",48,0,1.25,0,0,0,0,32.4231,-97.788,32.4231,-97.788,0,0,0,0,0,221,0,0,0
649701,2019,10,20,"2019-10-20","18:46:00",3,"TX",48,0,1.75,0,0,10000,0,33.37,-97.4,33.37,-97.4,0,0,0,0,0,497,0,0,0
