"om","yr","mo","dy","date","time","tz","st","stf","stn","mag","inj","fat","loss","closs","slat","slon","elat","elon","len","wid","ns","sn","sg","f1","f2","f3","f4"
663523,2021,10,10,"2021-10-10","16:16:00",3,"OK",40,0,1.25,0,0,0,0,34.51,-99.39,34.51,-99.39,0,0,0,0,0,65,0,0,0
663524,2021,10,10,"2021-10-10","16:27:00",3,"OK",40,0,1,0,0,0,0,34.66,-99.29,34.66,-99.29,0,0,0,0,0,65,0,0,0
663525,2021,10,10,"2021-10-10","16:41:00",3,"MN",27,0,1.75,0,0,0,0,47.9,-90.56,47.9,-90.56,0,0,0,0,0,31,0,0,0
663526,2021,10,10,"2021-10-10","17:15:00",3,"OK",40,0,2,0,0,50000,0,34.85,-99.02,34.85,-99.02,0,0,0,0,0,75,0,0,0
663527,2021,10,10,"2021-10-10","17:49:00",3,"OK",40,0,2,0,0,35000,0,36.6728,-97.0342,36.6728,-97.0342,0,0,0,0,0,113,0,0,0
663528,2021,10,10,"2021-10-10","17:52:00",3,"TX",48,0,1,0,0,0,0,34.096,-98.5951,34.096,-98.5951,0,0,0,0,0,485,0,0,0
663529,2021,10,10,"2021-10-10","18:35:00",3,"KS",20,0,1.75,0,0,0,0,38.27,-95.64,38.27,-95.64,0,0,0,0,0,31,0,0,0
663530,2021,10,10,"2021-10-10","18:40:00",3,"OK",40,0,1.75,0,0,0,0,35.19,-97.61,35.19,-97.61,0,0,0,0,0,87,0,0,0
663531,2021,10,10,"2021-10-10","18:40:00",3,"OK",40,0,1.5,0,0,0,0,35.04,-97.65,35.04,-97.65,0,0,0,0,0,87,0,0,0
663532,2021,10,10,"2021-10-10","18:48:00",3,"OK",40,0,1,0,0,0,0,35.2474,-97.6002,35.2474,-97.6002,0,0,0,0,0,87,0,0,0
663533,2021,10,10,"2021-10-10","18:51:00",3,"OK",40,0,1,0,0,0,0,35.15,-97.48,35.15,-97.48,0,0,0,0,0,87,0,0,0
663534,2021,10,10,"2021-10-10","18:57:00",3,"OK",40,0,1,0,0,0,0,35.15,-97.39,35.15,-97.39,0,0,0,0,0,27,0,0,0
663535,2021,10,10,"2021-10-10","18:57:00",3,"OK",40,0,1.75,0,0,0,0,35.12,-97.44,35.12,-97.44,0,0,0,0,0,87,0,0,0
663536,2021,10,10,"2021-10-10","19:02:00",3,"OK",40,0,1.5,0,0,0,0,35.14,-97.36,35.14,-97.36,0,0,0,0,0,27,0,0,0
663537,2021,10,10,"2021-10-10","19:04:00",3,"OK",40,0,3,0,0,0,0,35.22,-97.41,35.22,-97.41,0,0,0,0,0,27,0,0,0
663538,2021,10,10,"2021-10-10","19:05:00",3,"OK",40,0,2,0,0,0,0,35.24,-97.46,35.24,-97.46,0,0,0,0,0,27,0,0,0
663539,2021,10,10,"2021-10-10","19:06:00",3,"OK",40,0,2.75,0,0,0,0,35.26,-97.37,35.26,-97.37,0,0,0,0,0,27,0,0,0
663540,2021,10,11,"2021-10-11","14:15:00",3,"IL",17,0,0.75,0,0,0,0,39.6869,-90.1806,39.6869,-90.1806,0,0,0,0,0,137,0,0,0
663541,2021,10,11,"2021-10-11","15:17:00",3,"IN",18,0,1,0,0,0,0,39.9625,-86.9708,39.9625,-86.9708,0,0,0,0,0,107,0,0,0
