"om","yr","mo","dy","date","time","tz","st","stf","stn","mag","inj","fat","loss","closs","slat","slon","elat","elon","len","wid","ns","sn","sg","f1","f2","f3","f4"
622408,2016,10,10,"2016-10-10","23:15:00",3,"KS",20,0,1,0,0,0,0,37.16,-100.05,37.16,-100.05,0,0,0,0,0,25,0,0,0
622409,2016,10,11,"2016-10-11","23:03:00",3,"IA",19,0,0.75,0,0,0,0,40.41,-91.4,40.41,-91.4,0,0,0,0,0,111,0,0,0
622410,2016,10,12,"2016-10-12","16:05:00",3,"AR",5,0,2.5,0,0,0,0,35.96,-93.09,35.96,-93.09,0,0,0,0,0,101,0,0,0
622411,2016,10,12,"2016-10-12","16:15:00",3,"AR",5,0,2.5,0,0,0,0,35.96,-93.09,35.96,-93.09,0,0,0,0,0,101,0,0,0
622412,2016,10,12,"2016-10-12","18:42:00",3,"AR",5,0,1.75,0,0,0,0,35.64,-92.31,35.64,-92.31,0,0,0,0,0,141,0,0,0
622413,2016,10,12,"2016-10-12","19:20:00",3,"AR",5,0,1,0,0,0,0,35.51,-92.17,35.51,-92.17,0,0,0,0,0,23,0,0,0
622414,2016,10,14,"2016-10-14","06:30:00",3,"OR",41,0,1.5,0,0,0,0,46.2022,-123.9528,46.2022,-123.9528,0,0,0,0,0,7,0,0,0
622415,2016,10,17,"2016-10-17","01:20:00",3,"MI",26,0,0.75,0,0,0,0,46.74,-89.18,46.74,-89.18,0,0,0,0,0,131,0,0,0
622416,2016,10,17,"2016-10-17","03:25:00",3,"WI",55,0,1,0,0,0,0,45.19,-87.08,45.19,-87.08,0,0,0,0,0,29,0,0,0
622417,2016,10,17,"2016-10-17","06:00:00",3,"MI",26,0,1,0,0,0,0,44.73,-85.84,44.73,-85.84,0,0,0,0,0,19,0,0,0
622418,2016,10,17,"2016-10-17","06:24:00",3,"MI",26,0,1.5,0,0,0,0,45.16,-85.13,45.16,-85.13,0,0,0,0,0,29,0,0,0
622419,2016,10,17,"2016-10-17","06:30:00",3,"MI",26,0,0.88,0,0,0,0,45.18,-84.96,45.18,-84.96,0,0,0,0,0,29,0,0,0
622420,2016,10,17,"2016-10-17","06:30:00",3,"MI",26,0,0.88,0,0,0,0,45.99,-84.84,45.99,-84.84,0,0,0,0,0,97,0,0,0
622421,2016,10,17,"2016-10-17","08:31:00",3,"MI",26,0,2,0,0,0,0,44.5601,-83.7196,44.54,-83.7,0,0,0,0,0,1,0,0,0
622422,2016,10,17,"2016-10-17","09:00:00",3,"MI",26,0,0.75,0,0,0,0,44.43,-84.02,44.43,-84.02,0,0,0,0,0,129,0,0,0
622423,2016,10,17,"2016-10-17","16:30:00",3,"MN",27,0,0.75,0,0,0,0,44.82,-93.16,44.82,-93.16,0,0,0,0,0,37,0,0,0
